薬価基準収載医薬品コード,成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,収載年月日,経過措置による使用期限,備考,診療報酬における加算等の算定対象から除外する品目
5200073C1049,小柴胡湯エキス,三和小柴胡湯エキス細粒,,,,,
5200073C1057,小柴胡湯エキス,ジュンコウ　小柴胡湯ＦＣエキス細粒　医療用,,,,,
5200073C1065,小柴胡湯エキス,〔東洋〕小柴胡湯エキス細粒,,,,,
5200073C1081,小柴胡湯エキス,クラシエ小柴胡湯エキス細粒,,,,,
5200073D1028,小柴胡湯エキス,オースギ小柴胡湯エキスＧ,,,,,
5200073D1087,小柴胡湯エキス,ＪＰＳ小柴胡湯エキス顆粒〔調剤用〕,,,,,
5200073D1109,小柴胡湯エキス,太虎堂の小柴胡湯エキス顆粒,,,,,
5200073D1117,小柴胡湯エキス,ツムラ小柴胡湯エキス顆粒（医療用）,,,,,
5200073D1125,小柴胡湯エキス,テイコク小柴胡湯エキス顆粒,,,,,
5200073D1150,小柴胡湯エキス,本草小柴胡湯エキス顆粒－Ｍ,,,,,
5200073F1029,小柴胡湯エキス,オースギ小柴胡湯エキスＴ錠,,,,,
5200073F1061,小柴胡湯エキス,クラシエ小柴胡湯エキス錠,,,,,
5200074D1022,小柴胡湯加桔梗石膏エキス,ツムラ小柴胡湯加桔梗石膏エキス顆粒（医療用）,,,,,
5200075C1030,小青竜湯エキス,コタロー小青竜湯エキス細粒,,,,,
5200075C1048,小青竜湯エキス,三和小青竜湯エキス細粒,,,,,
5200075C1056,小青竜湯エキス,クラシエ小青竜湯エキス細粒,,,,,
5200075D1027,小青竜湯エキス,オースギ小青竜湯エキスＧ,,,,,
5200075D1060,小青竜湯エキス,ＪＰＳ小青竜湯エキス顆粒〔調剤用〕,,,,,
5200075D1078,小青竜湯エキス,太虎堂の小青竜湯エキス顆粒,,,,,
5200075D1086,小青竜湯エキス,ツムラ小青竜湯エキス顆粒（医療用）,,,,,
5200075D1094,小青竜湯エキス,テイコク小青竜湯エキス顆粒,,,,,
5200075D1116,小青竜湯エキス,本草小青龍湯エキス顆粒－Ｍ,,,,,
5200075F1028,小青竜湯エキス,オースギ小青竜湯エキスＴ錠,,,,,
5200075F1052,小青竜湯エキス,クラシエ小青竜湯エキス錠,,,,,
5200076C1034,小半夏加茯苓湯エキス,コタロー小半夏加茯苓湯エキス細粒,,,,,
5200076C1050,小半夏加茯苓湯エキス,クラシエ小半夏加茯苓湯エキス細粒,,,,,
5200076D1030,小半夏加茯苓湯エキス,ツムラ小半夏加茯苓湯エキス顆粒（医療用）,,,,,
5200076D1048,小半夏加茯苓湯エキス,テイコク小半夏加茯苓湯エキス顆粒,,,,,
5200076D1056,小半夏加茯苓湯エキス,本草小半夏加茯苓湯エキス顆粒－Ｍ,,,,,
5200076D1064,小半夏加茯苓湯エキス,オースギ小半夏加茯苓湯エキスＧ,,,,,
5200077C1020,消風散エキス,コタロー消風散エキス細粒,,,,,
5200077D1026,消風散エキス,オースギ消風散エキスＧ,,,,,
5200077D1034,消風散エキス,ツムラ消風散エキス顆粒（医療用）,,,,,
5200078D1020,升麻葛根湯エキス,ツムラ升麻葛根湯エキス顆粒（医療用）,,,,,
5200079C1020,四苓湯,オースギ四苓湯細粒（調剤用）,,,,,
5200080C1030,辛夷清肺湯エキス,コタロー辛夷清肺湯エキス細粒,,,,,
5200080C1049,辛夷清肺湯エキス,クラシエ辛夷清肺湯エキス細粒,,,,,
5200080D1028,辛夷清肺湯エキス,オースギ辛夷清肺湯エキスＧ,,,,,
5200080D1044,辛夷清肺湯エキス,ツムラ辛夷清肺湯エキス顆粒（医療用）,,,,,
5200081D1022,参蘇飲エキス,太虎堂の参蘇飲エキス顆粒,,,,,
5200081D1030,参蘇飲エキス,ツムラ参蘇飲エキス顆粒（医療用）,,,,,
5200082C1030,神秘湯エキス,コタロー神秘湯エキス細粒,,,,,
5200082C1048,神秘湯エキス,〔東洋〕神秘湯エキス細粒,,,,,
5200082C1056,神秘湯エキス,クラシエ神秘湯エキス細粒,,,,,
5200082D1027,神秘湯エキス,オースギ神秘湯エキスＧ,,,,,
5200082D1043,神秘湯エキス,ツムラ神秘湯エキス顆粒（医療用）,,,,,
5200082D1051,神秘湯エキス,本草神秘湯エキス顆粒－Ｍ,,,,,
5200083C1026,真武湯エキス,コタロー真武湯エキス細粒,,,,,
5200083C1034,真武湯エキス,三和真武湯エキス細粒,,,,,
5200083D1021,真武湯エキス,ＪＰＳ真武湯エキス顆粒〔調剤用〕,,,,,
5200083D1030,真武湯エキス,ツムラ真武湯エキス顆粒（医療用）,,,,,
5200084D1026,清上防風湯エキス,オースギ清上防風湯エキスＧ,,,,,
5200084D1034,清上防風湯エキス,ツムラ清上防風湯エキス顆粒（医療用）,,,,,
5200085D1020,清暑益気湯エキス,ツムラ清暑益気湯エキス顆粒（医療用）,,,,,
5200086C1020,清心蓮子飲エキス,ジュンコウ　清心蓮子飲ＦＣエキス細粒　医療用,,,,,
5200086C1038,清心蓮子飲エキス,〔東洋〕清心連子飲エキス細粒,,,,,
5200086D1033,清心蓮子飲エキス,ツムラ清心蓮子飲エキス顆粒（医療用）,,,,,
5200087D1020,清肺湯エキス,ツムラ清肺湯エキス顆粒（医療用）,,,,,
5200088D1024,川きゅう茶調散エキス,オースギ川きゅう茶調散料エキスＴＧ,,,,,
5200088D1032,川きゅう茶調散エキス,ツムラ川きゅう茶調散エキス顆粒（医療用）,,,,,
5200089D1029,疎経活血湯エキス,オースギ疎経活血湯エキスＧ,,,,,
5200089D1037,疎経活血湯エキス,太虎堂の疎経活血湯エキス顆粒,,,,,
5200089D1045,疎経活血湯エキス,ツムラ疎経活血湯エキス顆粒（医療用）,,,,,
5200090D1021,大黄甘草湯エキス,オースギ大黄甘草湯エキスＧ,,,,,
5200090D1030,大黄甘草湯エキス,ツムラ大黄甘草湯エキス顆粒（医療用）,,,,,
5200090F1022,大黄甘草湯エキス,オースギ大黄甘草湯エキスＴ錠,,,,,
5200091C1020,大黄牡丹皮湯エキス,コタロー大黄牡丹皮湯エキス細粒,,,,,
5200091D1026,大黄牡丹皮湯エキス,ツムラ大黄牡丹皮湯エキス顆粒（医療用）,,,,,
5200091D1034,大黄牡丹皮湯エキス,テイコク大黄牡丹皮湯エキス顆粒,,,,,
5200092C1025,大建中湯エキス,コタロー大建中湯エキス細粒,,,,,
5200092D1020,大建中湯エキス,ツムラ大建中湯エキス顆粒（医療用）,,,,,
5200093C1038,大柴胡湯エキス,コタロー大柴胡湯エキス細粒,,,,,
5200093C1046,大柴胡湯エキス,三和大柴胡湯エキス細粒,,,,,
5200093C1054,大柴胡湯エキス,ジュンコウ　大柴胡湯ＦＣエキス細粒　医療用,,,,,
5200093C1062,大柴胡湯エキス,〔東洋〕大柴胡湯エキス細粒,,,,,
5200093C1070,大柴胡湯エキス,クラシエ大柴胡湯エキス細粒,,,,,
5200093D1025,大柴胡湯エキス,オースギ大柴胡湯エキスＧ,,,,,
5200093D1041,大柴胡湯エキス,ＪＰＳ大柴胡湯エキス顆粒〔調剤用〕,,,,,
5200093D1068,大柴胡湯エキス,太虎堂の大柴胡湯エキス顆粒,,,,,
5200093D1092,大柴胡湯エキス,ツムラ大柴胡湯エキス顆粒（医療用）,,,,,
5200093D1106,大柴胡湯エキス,テイコク大柴胡湯エキス顆粒,,,,,
5200093D1122,大柴胡湯エキス,本草大柴胡湯エキス顆粒－Ｍ,,,,,
5200093F1026,大柴胡湯エキス,オースギ大柴胡湯エキスＴ錠,,,,,
5200093F1069,大柴胡湯エキス,クラシエ大柴胡湯エキス錠,,,,,
5200094C1024,大柴胡湯去大黄エキス,コタロー大柴胡湯去大黄エキス細粒,,,,,
5200094C1032,大柴胡湯去大黄エキス,三和大柴胡去大黄湯エキス細粒,,,,,
5200095C1029,大承気湯エキス,コタロー大承気湯エキス細粒,,,,,
5200095D1024,大承気湯エキス,ツムラ大承気湯エキス顆粒（医療用）,,,,,
5200096C1023,大防風湯エキス,三和大防風湯エキス細粒,,,,,
5200096D1029,大防風湯エキス,ツムラ大防風湯エキス顆粒（医療用）,,,,,
5200097D1023,竹じょ温胆湯エキス,ツムラ竹じょ温胆湯エキス顆粒（医療用）,,,,,
5200098D1028,治打撲一方エキス,ツムラ治打撲一方エキス顆粒（医療用）,,,,,
5200099D1022,治頭瘡一方エキス,ツムラ治頭瘡一方エキス顆粒（医療用）,,,,,
5200100D1027,調胃承気湯エキス,ツムラ調胃承気湯エキス顆粒（医療用）,,,,,
5200101D1030,釣藤散エキス,ツムラ釣藤散エキス顆粒（医療用）,,,,,
5200102C1020,腸癰湯エキス,コタロー腸癰湯エキス細粒,,,,,
5200103C1033,猪苓湯エキス,コタロー猪苓湯エキス細粒,,,,,
5200103C1041,猪苓湯エキス,三和猪苓湯エキス細粒,,,,,
5200103C1068,猪苓湯エキス,〔東洋〕猪苓湯エキス細粒,,,,,
5200103C1092,猪苓湯エキス,クラシエ猪苓湯エキス細粒,,,,,
5200103D1020,猪苓湯エキス,オースギ猪苓湯エキスＧ,,,,,
5200103D1047,猪苓湯エキス,ＪＰＳ猪苓湯エキス顆粒〔調剤用〕,,,,,
5200103D1063,猪苓湯エキス,太虎堂の猪苓湯エキス顆粒,,,,,
5200103D1101,猪苓湯エキス,ツムラ猪苓湯エキス顆粒（医療用）,,,,,
5200103D1110,猪苓湯エキス,テイコク猪苓湯エキス顆粒,,,,,
5200103D1144,猪苓湯エキス,本草猪苓湯エキス顆粒－Ｍ,,,,,
5200104D1025,猪苓湯合四物湯エキス,ツムラ猪苓湯合四物湯エキス顆粒（医療用）,,,,,
5200105C1024,通導散エキス,コタロー通導散エキス細粒,,,,,
5200105D1020,通導散エキス,太虎堂の通導散エキス顆粒,,,,,
5200105D1038,通導散エキス,ツムラ通導散エキス顆粒（医療用）,,,,,
5200106C1037,桃核承気湯エキス,コタロー桃核承気湯エキス細粒,,,,,
5200106C1045,桃核承気湯エキス,ジュンコウ　桃核承気湯ＦＣエキス細粒　医療用,,,,,
5200106C1053,桃核承気湯エキス,クラシエ桃核承気湯エキス細粒,,,,,
5200106D1024,桃核承気湯エキス,オースギ桃核承気湯エキスＧ,,,,,
5200106D1040,桃核承気湯エキス,ＪＰＳ桃核承気湯エキス顆粒〔調剤用〕,,,,,
5200106D1059,桃核承気湯エキス,ツムラ桃核承気湯エキス顆粒（医療用）,,,,,
5200106D1067,桃核承気湯エキス,テイコク桃核承気湯エキス顆粒,,,,,
5200106D1091,桃核承気湯エキス,本草桃核承気湯エキス顆粒－Ｍ,,,,,
5200106F1041,桃核承気湯エキス,クラシエ桃核承気湯エキス錠,,,,,
5200107D1029,当帰湯エキス,ツムラ当帰湯エキス顆粒（医療用）,,,,,
5200108D1023,当帰飲子エキス,ツムラ当帰飲子エキス顆粒（医療用）,,,,,
5200109D1028,当帰建中湯エキス,ツムラ当帰建中湯エキス顆粒（医療用）,,,,,
5200110C1033,当帰四逆加呉茱萸生姜湯エキス,コタロー当帰四逆加呉茱萸生姜湯エキス細粒,,,,,
5200110C1041,当帰四逆加呉茱萸生姜湯エキス,クラシエ当帰四逆加呉茱萸生姜湯エキス細粒,,,,,
5200110D1020,当帰四逆加呉茱萸生姜湯エキス,オースギ当帰四逆加呉茱萸生姜湯エキスＧ,,,,,
5200110D1047,当帰四逆加呉茱萸生姜湯エキス,ツムラ当帰四逆加呉茱萸生姜湯エキス顆粒（医療用）,,,,,
5200111B1032,当帰芍薬散エキス,太虎堂の当帰芍薬散料エキス散,,,,,
5200111C1038,当帰芍薬散エキス,コタロー当帰芍薬散料エキス細粒,,,,,
5200111C1046,当帰芍薬散エキス,三和当帰芍薬散料エキス細粒,,,,,
5200111C1054,当帰芍薬散エキス,ジュンコウ　当帰芍薬散料ＦＣエキス細粒　医療用,,,,,
5200111C1062,当帰芍薬散エキス,〔東洋〕当帰芍薬散料エキス細粒,,,,,
5200111C1089,当帰芍薬散エキス,クラシエ当帰芍薬散料エキス細粒,,,,,
5200111D1025,当帰芍薬散エキス,オースギ当帰芍薬散料エキスＧ,,,,,
5200111D1041,当帰芍薬散エキス,ＪＰＳ当帰芍薬散料エキス顆粒〔調剤用〕,,,,,
5200111D1068,当帰芍薬散エキス,太虎堂の当帰芍薬散料エキス顆粒,,,,,
5200111D1076,当帰芍薬散エキス,ツムラ当帰芍薬散エキス顆粒（医療用）,,,,,
5200111D1084,当帰芍薬散エキス,テイコク当帰芍薬散エキス顆粒,,,,,
5200111D1157,当帰芍薬散エキス,本草当帰芍薬散料エキス顆粒－Ｍ,,,,,
5200111F1026,当帰芍薬散エキス,オースギ当帰芍薬散料エキスＴ錠,,,,,
5200112C1024,当帰芍薬散加附子エキス,三和当帰芍薬散加附子エキス細粒,,,,,
5200113D1024,二朮湯エキス,ツムラ二朮湯エキス顆粒（医療用）,,,,,
5200114C1023,二陳湯エキス,〔東洋〕二陳湯エキス細粒,,,,,
5200114D1029,二陳湯エキス,ツムラ二陳湯エキス顆粒（医療用）,,,,,
5200115D1023,女神散エキス,ツムラ女神散エキス顆粒（医療用）,,,,,
5200116C1030,人参湯エキス,コタロー人参湯エキス細粒,,,,,
5200116C1049,人参湯エキス,〔東洋〕人参湯エキス細粒,,,,,
5200116C1057,人参湯エキス,本草人参湯エキス細粒,,,,,
5200116C1065,人参湯エキス,クラシエ人参湯エキス細粒,,,,,
5200116D1028,人参湯エキス,オースギ人参湯エキスＧ,,,,,
5200116D1052,人参湯エキス,太虎堂の人参湯エキス顆粒,,,,,
5200116D1060,人参湯エキス,ツムラ人参湯エキス顆粒（医療用）,,,,,
5200116D1079,人参湯エキス,テイコク人参湯エキス顆粒,,,,,
5200117C1035,人参養栄湯エキス,コタロー人参養栄湯エキス細粒,,,,,
5200117C1043,人参養栄湯エキス,クラシエ人参養栄湯エキス細粒,,,,,
5200117D1022,人参養栄湯エキス,オースギ人参養栄湯エキスＧ,,,,,
5200117D1030,人参養栄湯エキス,ツムラ人参養栄湯エキス顆粒（医療用）,,,,,
5200118C1021,排膿散及湯エキス,コタロー排膿散及湯エキス細粒,,,,,
5200118D1027,排膿散及湯エキス,ツムラ排膿散及湯エキス顆粒（医療用）,,,,,
5200119C1026,麦門冬湯エキス,コタロー麦門冬湯エキス細粒,,,,,
5200119C1034,麦門冬湯エキス,ジュンコウ　麦門冬湯ＦＣエキス細粒　医療用,,,,,
5200119D1021,麦門冬湯エキス,ＪＰＳ麦門冬湯エキス顆粒〔調剤用〕,,,,,
5200119D1030,麦門冬湯エキス,ツムラ麦門冬湯エキス顆粒（医療用）,,,,,
5200119D1048,麦門冬湯エキス,テイコク麦門冬湯エキス顆粒,,,,,
5200120C1029,八味丸エキス,コタロー八味丸料エキス細粒,,,,,
5200120D1024,八味丸エキス,テイコク八味丸エキス顆粒,,,,,
5200120D1032,八味丸エキス,本草八味丸料エキス顆粒－Ｍ,,,,,
5200120L1029,八味丸,ウチダの八味丸Ｍ,,,,,
5200121C1031,八味地黄丸エキス,三和八味地黄丸料エキス細粒,,,,,
5200121C1040,八味地黄丸エキス,クラシエ八味地黄丸料エキス細粒,,,,,
5200121D1029,八味地黄丸エキス,オースギ八味地黄丸料エキスＧ,,,,,
5200121D1037,八味地黄丸エキス,ＪＰＳ八味地黄丸料エキス顆粒〔調剤用〕,,,,,
5200121D1045,八味地黄丸エキス,ツムラ八味地黄丸エキス顆粒（医療用）,,,,,
5200121F1020,八味地黄丸エキス,オースギ八味地黄丸料エキスＴ錠,,,,,
5200121F1046,八味地黄丸エキス,クラシエ八味地黄丸料エキス錠,,,,,
5200122C1036,半夏厚朴湯エキス,コタロー半夏厚朴湯エキス細粒,,,,,
5200122C1044,半夏厚朴湯エキス,三和半夏厚朴湯エキス細粒,,,,,
5200122C1052,半夏厚朴湯エキス,ジュンコウ　半夏厚朴湯ＦＣエキス細粒　医療用,,,,,
5200122C1060,半夏厚朴湯エキス,〔東洋〕半夏厚朴湯エキス細粒,,,,,
5200122C1079,半夏厚朴湯エキス,クラシエ半夏厚朴湯エキス細粒,,,,,
5200122D1023,半夏厚朴湯エキス,オースギ半夏厚朴湯エキスＧ,,,,,
5200122D1040,半夏厚朴湯エキス,ＪＰＳ半夏厚朴湯エキス顆粒〔調剤用〕,,,,,
5200122D1066,半夏厚朴湯エキス,太虎堂の半夏厚朴湯エキス顆粒,,,,,
5200122D1074,半夏厚朴湯エキス,ツムラ半夏厚朴湯エキス顆粒（医療用）,,,,,
5200122D1082,半夏厚朴湯エキス,テイコク半夏厚朴湯エキス顆粒,,,,,
5200122D1112,半夏厚朴湯エキス,本草半夏厚朴湯エキス顆粒－Ｍ,,,,,
5200122F1024,半夏厚朴湯エキス,オースギ半夏厚朴湯エキスＴ錠,,,,,
5200122F1067,半夏厚朴湯エキス,クラシエ半夏厚朴湯エキス錠,,,,,
5200123C1030,半夏瀉心湯エキス,コタロー半夏瀉心湯エキス細粒,,,,,
5200123C1049,半夏瀉心湯エキス,三和半夏瀉心湯エキス細粒,,,,,
5200123C1057,半夏瀉心湯エキス,ジュンコウ　半夏瀉心湯ＦＣエキス細粒　医療用,,,,,
5200123C1065,半夏瀉心湯エキス,〔東洋〕半夏瀉心湯エキス細粒,,,,,
5200123C1081,半夏瀉心湯エキス,クラシエ半夏瀉心湯エキス細粒,,,,,
5200123D1028,半夏瀉心湯エキス,オースギ半夏瀉心湯エキスＧ,,,,,
5200123D1052,半夏瀉心湯エキス,ＪＰＳ半夏瀉心湯エキス顆粒〔調剤用〕,,,,,
5200123D1060,半夏瀉心湯エキス,太虎堂の半夏瀉心湯エキス顆粒,,,,,
5200123D1079,半夏瀉心湯エキス,ツムラ半夏瀉心湯エキス顆粒（医療用）,,,,,
5200123D1087,半夏瀉心湯エキス,テイコク半夏瀉心湯エキス顆粒,,,,,
5200123D1125,半夏瀉心湯エキス,本草半夏瀉心湯エキス顆粒－Ｍ,,,,,
5200123F1053,半夏瀉心湯エキス,クラシエ半夏瀉心湯エキス錠,,,,,
5200124C1035,半夏白朮天麻湯エキス,コタロー半夏白朮天麻湯エキス細粒,,,,,
5200124C1043,半夏白朮天麻湯エキス,三和半夏白朮天麻湯エキス細粒,,,,,
5200124C1051,半夏白朮天麻湯エキス,クラシエ半夏白朮天麻湯エキス細粒,,,,,
5200124D1022,半夏白朮天麻湯エキス,ツムラ半夏白朮天麻湯エキス顆粒（医療用）,,,,,
5200125C1030,白虎加人参湯エキス,コタロー白虎加人参湯エキス細粒,,,,,
5200125C1048,白虎加人参湯エキス,クラシエ白虎加人参湯エキス細粒,,,,,
5200125D1035,白虎加人参湯エキス,ツムラ白虎加人参湯エキス顆粒（医療用）,,,,,
5200125D1043,白虎加人参湯エキス,テイコク白虎加人参湯エキス顆粒,,,,,
5200125F1036,白虎加人参湯エキス,クラシエ白虎加人参湯エキス錠,,,,,
5200126C1026,茯苓飲エキス,コタロー茯苓飲エキス細粒,,,,,
5200126D1021,茯苓飲エキス,ツムラ茯苓飲エキス顆粒（医療用）,,,,,
5200127D1026,茯苓飲合半夏厚朴湯エキス,ツムラ茯苓飲合半夏厚朴湯エキス顆粒（医療用）,,,,,
5200128C1025,平胃散エキス,コタロー平胃散エキス細粒,,,,,
5200128D1020,平胃散エキス,オースギ平胃散料エキスＧ,,,,,
5200128D1047,平胃散エキス,ツムラ平胃散エキス顆粒（医療用）,,,,,
5200128D1055,平胃散エキス,テイコク平胃散エキス顆粒,,,,,
5200128D1080,平胃散エキス,本草平胃散料エキス顆粒－Ｍ,,,,,
5200129C1038,防已黄耆湯エキス,コタロー防已黄耆湯エキス細粒,,,,,
5200129C1046,防已黄耆湯エキス,ジュンコウ　防已黄耆湯ＦＣエキス細粒　医療用,,,,,
5200129C1062,防已黄耆湯エキス,クラシエ防已黄耆湯エキス細粒,,,,,
5200129D1025,防已黄耆湯エキス,オースギ防已黄耆湯エキスＧ,,,,,
5200129D1041,防已黄耆湯エキス,ＪＰＳ防已黄耆湯エキス顆粒〔調剤用〕,,,,,
5200129D1068,防已黄耆湯エキス,太虎堂の防已黄耆湯エキス顆粒,,,,,
5200129D1076,防已黄耆湯エキス,ツムラ防已黄耆湯エキス顆粒（医療用）,,,,,
5200129D1084,防已黄耆湯エキス,テイコク防已黄耆湯エキス顆粒,,,,,
5200129D1106,防已黄耆湯エキス,本草防已黄耆湯エキス顆粒－Ｍ,,,,,
5200129F1042,防已黄耆湯エキス,クラシエ防已黄耆湯エキス錠,,,,,
5200130C1030,防風通聖散エキス,コタロー防風通聖散エキス細粒,,,,,
5200130C1049,防風通聖散エキス,三和防風通聖散料エキス細粒,,,,,
5200130C1057,防風通聖散エキス,〔東洋〕防風通聖散料エキス細粒,,,,,
5200130C1065,防風通聖散エキス,クラシエ防風通聖散料エキス細粒,,,,,
5200130D1028,防風通聖散エキス,オースギ防風通聖散エキスＧ,,,,,
5200130D1044,防風通聖散エキス,ＪＰＳ防風通聖散料エキス顆粒〔調剤用〕,,,,,
5200130D1052,防風通聖散エキス,太虎堂の防風通聖散料エキス顆粒,,,,,
5200130D1060,防風通聖散エキス,ツムラ防風通聖散エキス顆粒（医療用）,,,,,
5200130D1079,防風通聖散エキス,テイコク防風通聖散エキス顆粒,,,,,
5200130D1087,防風通聖散エキス,本草防風通聖散エキス顆粒－Ｍ,,,,,
5200130F1037,防風通聖散エキス,クラシエ防風通聖散エキス錠,,,,,
5200131B1021,補中益気湯エキス,太虎堂の補中益気湯エキス散,,,,,
5200131C1035,補中益気湯エキス,コタロー補中益気湯エキス細粒,,,,,
5200131C1043,補中益気湯エキス,三和補中益気湯エキス細粒,,,,,
5200131C1051,補中益気湯エキス,ジュンコウ　補中益気湯ＦＣエキス細粒　医療用,,,,,
5200131C1060,補中益気湯エキス,〔東洋〕補中益気湯エキス細粒,,,,,
5200131C1078,補中益気湯エキス,クラシエ補中益気湯エキス細粒,,,,,
5200131D1022,補中益気湯エキス,オースギ補中益気湯エキスＧ,,,,,
5200131D1049,補中益気湯エキス,ＪＰＳ補中益気湯エキス顆粒〔調剤用〕,,,,,
5200131D1057,補中益気湯エキス,太虎堂の補中益気湯エキス顆粒,,,,,
5200131D1065,補中益気湯エキス,ツムラ補中益気湯エキス顆粒（医療用）,,,,,
5200131D1073,補中益気湯エキス,テイコク補中益気湯エキス顆粒,,,,,
5200131D1120,補中益気湯エキス,本草補中益気湯エキス顆粒－Ｍ,,,,,
5200131F1031,補中益気湯エキス,ジュンコウ　補中益気湯ＦＣエキス錠　医療用,,,,,
5200132C1030,麻黄湯エキス,コタロー麻黄湯エキス細粒,,,,,
5200132C1048,麻黄湯エキス,ジュンコウ　麻黄湯ＦＣエキス細粒　医療用,,,,,
5200132C1064,麻黄湯エキス,クラシエ麻黄湯エキス細粒,,,,,
5200132D1035,麻黄湯エキス,ツムラ麻黄湯エキス顆粒（医療用）,,,,,
5200132D1043,麻黄湯エキス,テイコク麻黄湯エキス顆粒,,,,,
5200132D1060,麻黄湯エキス,本草麻黄湯エキス顆粒－Ｓ,,,,,
5200133C1026,麻黄附子細辛湯エキス,三和麻黄附子細辛湯エキス細粒,,,,,
5200133D1021,麻黄附子細辛湯エキス,ツムラ麻黄附子細辛湯エキス顆粒（医療用）,,,,,
5200133M1021,麻黄附子細辛湯エキス,コタロー麻黄附子細辛湯エキスカプセル,,,,,
5200134C1020,麻杏甘石湯エキス,コタロー麻杏甘石湯エキス細粒,,,,,
5200134C1039,麻杏甘石湯エキス,ジュンコウ　麻杏甘石湯ＦＣエキス細粒　医療用,,,,,
5200134D1026,麻杏甘石湯エキス,オースギ麻杏甘石湯エキスＧ,,,,,
5200134D1042,麻杏甘石湯エキス,ツムラ麻杏甘石湯エキス顆粒（医療用）,,,,,
5200134D1050,麻杏甘石湯エキス,テイコク麻杏甘石湯エキス顆粒,,,,,
5200134D1077,麻杏甘石湯エキス,本草麻杏甘石湯エキス顆粒－Ｍ,,,,,
5200135C1033,麻杏よく甘湯エキス,コタロー麻杏よく甘湯エキス細粒,,,,,
5200135C1041,麻杏よく甘湯エキス,三和麻杏よく甘湯エキス細粒,,,,,
5200135C1050,麻杏よく甘湯エキス,クラシエ麻杏よく甘湯エキス細粒,,,,,
5200135D1020,麻杏よく甘湯エキス,オースギ麻杏よく甘湯エキスＧ,,,,,
5200135D1039,麻杏よく甘湯エキス,ＪＰＳ麻杏よく甘湯エキス顆粒〔調剤用〕,,,,,
5200135D1047,麻杏よく甘湯エキス,ツムラ麻杏よく甘湯エキス顆粒（医療用）,,,,,
5200136C1020,麻子仁丸エキス,コタロー麻子仁丸料エキス細粒,,,,,
5200136D1025,麻子仁丸エキス,オースギ麻子仁丸料エキスＧ,,,,,
5200136D1033,麻子仁丸エキス,ツムラ麻子仁丸エキス顆粒（医療用）,,,,,
5200137C1024,木防已湯エキス,コタロー木防已湯エキス細粒,,,,,
5200137C1032,木防已湯エキス,三和木防已湯エキス細粒,,,,,
5200137D1020,木防已湯エキス,ツムラ木防已湯エキス顆粒（医療用）,,,,,
5200138C1037,よく苡仁湯エキス,ジュンコウ　よく苡仁湯ＦＣエキス細粒　医療用,,,,,
5200138C1045,よく苡仁湯エキス,〔東洋〕よく苡仁湯エキス細粒,,,,,
5200138C1053,よく苡仁湯エキス,クラシエよく苡仁湯エキス細粒,,,,,
5200138D1024,よく苡仁湯エキス,オースギよく苡仁湯エキスＴＧ,,,,,
5200138D1059,よく苡仁湯エキス,ツムラよく苡仁湯エキス顆粒（医療用）,,,,,
5200138D1067,よく苡仁湯エキス,本草よく苡仁湯エキス顆粒－Ｍ,,,,,
5200138F1041,よく苡仁湯エキス,クラシエよく苡仁湯エキス錠,,,,,
5200139D1029,抑肝散エキス,オースギ抑肝散料エキスＴＧ,,,,,
5200139D1037,抑肝散エキス,ツムラ抑肝散エキス顆粒（医療用）,,,,,
5200140C1034,抑肝散加陳皮半夏エキス,コタロー抑肝散加陳皮半夏エキス細粒,,,,,
5200140C1042,抑肝散加陳皮半夏エキス,クラシエ抑肝散加陳皮半夏エキス細粒,,,,,
5200140D1021,抑肝散加陳皮半夏エキス,ツムラ抑肝散加陳皮半夏エキス顆粒（医療用）,,,,,
5200141C1039,六君子湯エキス,コタロー六君子湯エキス細粒,,,,,
5200141C1047,六君子湯エキス,三和六君子湯エキス細粒,,,,,
5200141C1055,六君子湯エキス,〔東洋〕六君子湯エキス細粒,,,,,
5200141C1063,六君子湯エキス,クラシエ六君子湯エキス細粒,,,,,
5200141D1026,六君子湯エキス,オースギ六君子湯エキスＧ,,,,,
5200141D1034,六君子湯エキス,ツムラ六君子湯エキス顆粒（医療用）,,,,,
5200141D1042,六君子湯エキス,テイコク六君子湯エキス顆粒,,,,,
5200141D1069,六君子湯エキス,本草六君子湯エキス顆粒－Ｍ,,,,,
5200142B1020,竜胆瀉肝湯エキス,太虎堂の竜胆瀉肝湯エキス散,,,,,
5200142C1025,竜胆瀉肝湯エキス,コタロー竜胆瀉肝湯エキス細粒,,,,,
5200142C1033,竜胆瀉肝湯エキス,三和竜胆瀉肝湯エキス細粒,,,,,
5200142C1041,竜胆瀉肝湯エキス,ジュンコウ　龍胆瀉肝湯ＦＣエキス細粒　医療用,,,,,
5200142C1050,竜胆瀉肝湯エキス,太虎堂の竜胆瀉肝湯エキス細粒,,,,,
5200142C1068,竜胆瀉肝湯エキス,〔東洋〕龍胆瀉肝湯エキス細粒,,,,,
5200142D1039,竜胆瀉肝湯エキス,太虎堂の竜胆瀉肝湯エキス顆粒,,,,,
5200142D1047,竜胆瀉肝湯エキス,ツムラ竜胆瀉肝湯エキス顆粒（医療用）,,,,,
5200143C1020,苓甘姜味辛夏仁湯エキス,コタロー苓甘姜味辛夏仁湯エキス細粒,,,,,
