区分,薬価基準収載医薬品コード,成分名,規格,日本薬局方,麻薬,業者名追記,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
注射薬,2499418G1028,セマグルチド（遺伝子組換え）,０．２５ｍｇ０．５ｍＬ１キット,,,,オゼンピック皮下注０．２５ｍｇＳＤ,ノボ　ノルディスク　ファーマ,,先発品,,1376,,
注射薬,2499418G2024,セマグルチド（遺伝子組換え）,０．５ｍｇ０．５ｍＬ１キット,,,,オゼンピック皮下注０．５ｍｇＳＤ,ノボ　ノルディスク　ファーマ,,先発品,,2752,,
注射薬,2499418G3020,セマグルチド（遺伝子組換え）,１ｍｇ０．５ｍＬ１キット,,,,オゼンピック皮下注１．０ｍｇＳＤ,ノボ　ノルディスク　ファーマ,,先発品,,5504,,
注射薬,2499419D1026,テデュグルチド（遺伝子組換え）,３．８ｍｇ１瓶（溶解液付）,,,,レベスティブ皮下注用３．８ｍｇ,武田薬品工業,,先発品,,79302,,
注射薬,2499420G1025,ガニレリクス酢酸塩,０．２５ｍｇ０．５ｍＬ１筒,,,,ガニレスト皮下注０．２５ｍｇシリンジ,オルガノン,,先発品,,8904,,
注射薬,2499421D1023,セトロレリクス酢酸塩,０．２５ｍｇ１瓶（溶解液付）,,,,セトロタイド注射用０．２５ｍｇ,日本化薬,,先発品,,9057,,
注射薬,2511400A1048,ヘキサミン,４０％５ｍＬ１管,,,,ヘキサミン静注液２ｇ「ニッシン」,日新製薬（山形）,後発品,,,127,,
注射薬,2531400A1016,エルゴメトリンマレイン酸塩,０．０２％１ｍＬ１管,局,,,エルゴメトリンマレイン酸塩注射液,,,,,94,,
注射薬,2531401A1010,メチルエルゴメトリンマレイン酸塩,０．０２％１ｍＬ１管,,,,メチルエルゴメトリンマレイン酸塩０．０２％１ｍＬ注射液,,後発品,,,59,,
注射薬,2559400A1033,フェノール,５％５ｍＬ１管,,,,パオスクレー内痔核内注射用２５０ｍｇ,鳥居薬品,,先発品,,1278,,
注射薬,2559500A1023,硫酸アルミニウムカリウム水和物・タンニン酸,１０ｍＬ１瓶（希釈液付）,,,,ジオン注無痛化剤付,ジェイドルフ製薬,,先発品,,4530,,
注射薬,2559500A2020,硫酸アルミニウムカリウム水和物・タンニン酸,１０ｍＬ１瓶（希釈液付）,,,,ジオン注生食液付,ジェイドルフ製薬,,先発品,,4592,,
注射薬,2590402A1016,リトドリン塩酸塩,１％５ｍＬ１管,,,,リトドリン塩酸塩１％５ｍＬ注射液,,後発品,,,203,,
注射薬,2590402A1156,リトドリン塩酸塩,１％５ｍＬ１管,局,,,ウテメリン注５０ｍｇ,キッセイ薬品工業,,先発品,○,623,,
注射薬,2590402A1288,リトドリン塩酸塩,１％５ｍＬ１管,局,,,リトドリン塩酸塩点滴静注液５０ｍｇ「あすか」,あすか製薬,後発品,,,560,,
注射薬,2590500A1023,硫酸マグネシウム水和物・ブドウ糖,１００ｍＬ１瓶,,,,マグセント注１００ｍＬ,あすか製薬,,先発品,,1833,,
注射薬,2590500G1026,硫酸マグネシウム水和物・ブドウ糖,４０ｍＬ１筒,,,,マグセント注シリンジ４０ｍＬ,あすか製薬,,先発品,,1469,,
注射薬,2900400A2034,セファランチン,０．５％２ｍＬ１管,,,,セファランチン注１０ｍｇ,メディサ新薬,,,,163,,
注射薬,2900401D1020,コラゲナーゼ（クロストリジウム　ヒストリチクム）,０．５８ｍｇ１瓶（溶解液付）,,,,ザイヤフレックス注射用,旭化成ファーマ,,先発品,,190010,,
注射薬,3111400A1032,レチノールパルミチン酸エステル,５万単位１管,,,,チョコラＡ筋注５万単位,エーザイ,,,,123,,
注射薬,3112401A1018,マキサカルシトール,２．５μｇ１ｍＬ１管,,,,マキサカルシトール２．５μｇ１ｍＬ注射液,,後発品,,,190,,
注射薬,3112401A1026,マキサカルシトール,２．５μｇ１ｍＬ１管,,,,オキサロール注２．５μｇ,中外製薬,,先発品,○,707,,
注射薬,3112401A1042,マキサカルシトール,２．５μｇ１ｍＬ１管,,,,マキサカルシトール静注透析用２．５μｇ「日医工」,日医工,後発品,,,234,,
注射薬,3112401A1050,マキサカルシトール,２．５μｇ１ｍＬ１管,,,,マキサカルシトール静注透析用２．５μｇ「ニプロ」,ナガセ医薬品,後発品,,,234,,
注射薬,3112401A1069,マキサカルシトール,２．５μｇ１ｍＬ１管,,,,マキサカルシトール静注透析用２．５μｇ「ファイザー」,マイラン製薬,後発品,,,234,,
注射薬,3112401A2014,マキサカルシトール,５μｇ１ｍＬ１管,,,,マキサカルシトール５μｇ１ｍＬ注射液,,後発品,,,237,,
注射薬,3112401A2022,マキサカルシトール,５μｇ１ｍＬ１管,,,,オキサロール注５μｇ,中外製薬,,先発品,○,929,,
注射薬,3112401A2049,マキサカルシトール,５μｇ１ｍＬ１管,,,,マキサカルシトール静注透析用５μｇ「日医工」,日医工,後発品,,,306,,
注射薬,3112401A2057,マキサカルシトール,５μｇ１ｍＬ１管,,,,マキサカルシトール静注透析用５μｇ「ニプロ」,ナガセ医薬品,後発品,,,306,,
注射薬,3112401A2065,マキサカルシトール,５μｇ１ｍＬ１管,,,,マキサカルシトール静注透析用５μｇ「ファイザー」,マイラン製薬,後発品,,,306,,
注射薬,3112401A2073,マキサカルシトール,５μｇ１ｍＬ１管,,,,マキサカルシトール静注透析用５μｇ「トーワ」,東和薬品,後発品,,,306,,
注射薬,3112401A3010,マキサカルシトール,１０μｇ１ｍＬ１管,,,,マキサカルシトール１０μｇ１ｍＬ注射液,,後発品,,,386,,
注射薬,3112401A3029,マキサカルシトール,１０μｇ１ｍＬ１管,,,,オキサロール注１０μｇ,中外製薬,,先発品,○,1444,,
注射薬,3112401A3045,マキサカルシトール,１０μｇ１ｍＬ１管,,,,マキサカルシトール静注透析用１０μｇ「日医工」,日医工,後発品,,,512,,
注射薬,3112401G1029,マキサカルシトール,２．５μｇ１ｍＬ１筒,,,,マキサカルシトール静注透析用シリンジ２．５μｇ「イセイ」,コーアイセイ,後発品,,,548,,
注射薬,3112401G1037,マキサカルシトール,２．５μｇ１ｍＬ１筒,,,,マキサカルシトール静注透析用シリンジ２．５μｇ「フソー」,扶桑薬品工業,後発品,,,548,,
注射薬,3112401G2025,マキサカルシトール,５μｇ１ｍＬ１筒,,,,マキサカルシトール静注透析用シリンジ５μｇ「イセイ」,コーアイセイ,後発品,,,691,,
注射薬,3112401G2033,マキサカルシトール,５μｇ１ｍＬ１筒,,,,マキサカルシトール静注透析用シリンジ５μｇ「フソー」,扶桑薬品工業,後発品,,,691,,
注射薬,3112401G3021,マキサカルシトール,１０μｇ１ｍＬ１筒,,,,マキサカルシトール静注透析用シリンジ１０μｇ「イセイ」,コーアイセイ,後発品,,,792,,
注射薬,3112401G3030,マキサカルシトール,１０μｇ１ｍＬ１筒,,,,マキサカルシトール静注透析用シリンジ１０μｇ「フソー」,扶桑薬品工業,後発品,,,792,,
注射薬,3112402A1020,カルシトリオール,０．５μｇ１ｍＬ１管,,,,ロカルトロール注０．５,協和キリン,,先発品,○,716,,
注射薬,3112402A1039,カルシトリオール,０．５μｇ１ｍＬ１管,,,,カルシトリオール静注液０．５μｇ「Ｆ」,富士製薬工業,後発品,,,278,,
注射薬,3112402A2027,カルシトリオール,１μｇ１ｍＬ１管,,,,ロカルトロール注１,協和キリン,,先発品,○,1079,,
注射薬,3112402A2035,カルシトリオール,１μｇ１ｍＬ１管,,,,カルシトリオール静注液１μｇ「Ｆ」,富士製薬工業,後発品,,,407,,
注射薬,3121400A1012,チアミン塩化物塩酸塩,５ｍｇ１管,局,,,チアミン塩化物塩酸塩注射液,,,,,84,,
注射薬,3121400A2019,チアミン塩化物塩酸塩,１０ｍｇ１管,局,,,チアミン塩化物塩酸塩注射液,,,,,84,,
注射薬,3121400A3015,チアミン塩化物塩酸塩,２０ｍｇ１管,局,,,チアミン塩化物塩酸塩注射液,,,,,84,,
注射薬,3121400A4011,チアミン塩化物塩酸塩,５０ｍｇ１管,局,,,チアミン塩化物塩酸塩注射液,,,,,89,,
注射薬,3121400A4070,チアミン塩化物塩酸塩,５０ｍｇ１管,局,,,メタボリン注射液５０ｍｇ,武田テバ薬品,,,,94,,
注射薬,3121400A4100,チアミン塩化物塩酸塩,５０ｍｇ１管,局,,,チアミン塩化物塩酸塩注５０ｍｇ「フソー」,扶桑薬品工業,,,,94,,
注射薬,3122401A1049,フルスルチアミン塩酸塩,５ｍｇ１管,,,,アリナミンＦ５注,武田テバ薬品,,,,59,,
注射薬,3122401A2045,フルスルチアミン塩酸塩,１０ｍｇ１管,,,,アリナミンＦ１０注,武田テバ薬品,,,,60,,
注射薬,3122401A2053,フルスルチアミン塩酸塩,１０ｍｇ１管,,,,フルスルチアミン注１０ｍｇ「トーワ」,東和薬品,後発品,,,51,,
注射薬,3122401A3025,フルスルチアミン塩酸塩,２５ｍｇ１０ｍＬ１管,,,,アリナミンＦ２５注,武田テバ薬品,,,,59,,
注射薬,3122401A3050,フルスルチアミン塩酸塩,２５ｍｇ１０ｍＬ１管,,,,フルスルチアミン静注２５ｍｇ「トーワ」,東和薬品,後発品,,,55,,
注射薬,3122401A4013,フルスルチアミン塩酸塩,５０ｍｇ２０ｍＬ１管,,,,フルスルチアミン塩酸塩５０ｍｇ２０ｍＬ注射液,,後発品,,,57,,
注射薬,3122401A4021,フルスルチアミン塩酸塩,５０ｍｇ２０ｍＬ１管,,,,アリナミンＦ５０注,武田テバ薬品,,,,71,,
注射薬,3122401A5028,フルスルチアミン塩酸塩,１００ｍｇ２０ｍＬ１管,,,,アリナミンＦ１００注,武田テバ薬品,,,,119,,
注射薬,3122402A5162,チアミンジスルフィド,５０ｍｇ２０ｍＬ１管,,,,バイオゲン静注５０ｍｇ,扶桑薬品工業,,,,57,,
注射薬,3122404A1034,プロスルチアミン,１０ｍｇ１管,,,,アリナミン注射液１０ｍｇ,武田テバ薬品,,,,63,,
注射薬,3131400A3127,フラビンアデニンジヌクレオチド,５ｍｇ１管,,,,フラビタン注５ｍｇ,トーアエイヨー,,,,59,,
注射薬,3131400A4018,フラビンアデニンジヌクレオチド,１０ｍｇ１管,,,,フラビンアデニンジヌクレオチド１０ｍｇ注射液,,後発品,,,57,,
注射薬,3131400A4182,フラビンアデニンジヌクレオチド,１０ｍｇ１管,,,,フラビタン注射液１０ｍｇ,トーアエイヨー,,,,59,,
注射薬,3131400A5014,フラビンアデニンジヌクレオチド,２０ｍｇ１管,,,,フラビンアデニンジヌクレオチド２０ｍｇ注射液,,後発品,,,57,,
注射薬,3131400A5146,フラビンアデニンジヌクレオチド,２０ｍｇ１管,,,,フラビタン注射液２０ｍｇ,トーアエイヨー,,,,60,,
注射薬,3131400A7050,フラビンアデニンジヌクレオチド,３０ｍｇ１管,,,,ＦＡＤ注３０ｍｇ「わかもと」,わかもと製薬,後発品,,,57,,
注射薬,3131401A1013,リボフラビンリン酸エステルナトリウム,１ｍｇ１管,局,,,リボフラビンリン酸エステルナトリウム注射液,,,,,88,,
注射薬,3131401A2010,リボフラビンリン酸エステルナトリウム,５ｍｇ１管,局,,,リボフラビンリン酸エステルナトリウム注射液,,,,,88,,
注射薬,3131401A3016,リボフラビンリン酸エステルナトリウム,１０ｍｇ１管,局,,,リボフラビンリン酸エステルナトリウム注射液,,,,,88,,
注射薬,3131401A4012,リボフラビンリン酸エステルナトリウム,２０ｍｇ１管,局,,,リボフラビンリン酸エステルナトリウム注射液,,,,,95,,
注射薬,3132400A1016,ニコチン酸,２０ｍｇ１管,局,,,ニコチン酸注射液,,,,,95,,
注射薬,3132400A2012,ニコチン酸,５０ｍｇ１管,局,,,ニコチン酸注射液,,,,,95,,
注射薬,3133400A2052,パンテチン,１００ｍｇ１管,,,,パントシン注５％,アルフレッサファーマ,,,,59,,
注射薬,3133400A3016,パンテチン,２００ｍｇ１管,,,,パンテチン２００ｍｇ注射液,,後発品,,,57,,
注射薬,3133400A3075,パンテチン,２００ｍｇ１管,,,,パントシン注１０％,アルフレッサファーマ,,,,59,,
注射薬,3133401A1042,パンテノール,１００ｍｇ１管,,,,パントール注射液１００ｍｇ,トーアエイヨー,,,,57,,
注射薬,3133401A1069,パンテノール,１００ｍｇ１管,,,,パンテノール注１００ｍｇ「ＫＣＣ」,共和クリティケア,後発品,,,57,,
注射薬,3133401A2030,パンテノール,２５０ｍｇ１管,,,,パントール注射液２５０ｍｇ,トーアエイヨー,,,,57,,
注射薬,3133401A2057,パンテノール,２５０ｍｇ１管,,,,パンテノール注２５０ｍｇ「ＫＣＣ」,共和クリティケア,後発品,,,57,,
注射薬,3133401A3045,パンテノール,５００ｍｇ１管,,,,パントール注射液５００ｍｇ,トーアエイヨー,,,,57,,
注射薬,3133401A3061,パンテノール,５００ｍｇ１管,,,,パンテノール注５００ｍｇ「ＫＣＣ」,共和クリティケア,後発品,,,57,,
注射薬,3134400A1010,ピリドキシン塩酸塩,１０ｍｇ１管,局,,,ピリドキシン塩酸塩注射液,,,,,84,,
注射薬,3134400A1061,ピリドキシン塩酸塩,１０ｍｇ１管,局,,,ビーシックス注「フソー」－１０ｍｇ,扶桑薬品工業,,,,88,,
注射薬,3134400A3013,ピリドキシン塩酸塩,３０ｍｇ１管,局,,,ピリドキシン塩酸塩注射液,,,,,88,,
注射薬,3134402A1176,ピリドキサールリン酸エステル水和物,１０ｍｇ１管,,,,ピドキサール注１０ｍｇ,太陽ファルマ,,,,57,,
注射薬,3134402A1184,ピリドキサールリン酸エステル水和物,１０ｍｇ１管,,,,ピリドキサール注１０ｍｇ「イセイ」,コーアイセイ,,,,51,,
注射薬,3134402A2016,ピリドキサールリン酸エステル水和物,３０ｍｇ１管,,,,ピリドキサールリン酸エステル３０ｍｇ注射液,,後発品,,,57,,
注射薬,3134402A2180,ピリドキサールリン酸エステル水和物,３０ｍｇ１管,,,,ピドキサール注３０ｍｇ,太陽ファルマ,,,,58,,
注射薬,3135400A1018,葉酸,１５ｍｇ１管,局,,,葉酸注射液,,,,,96,,
注射薬,3136401A1184,ヒドロキソコバラミン酢酸塩,１ｍｇ１管,,,,マスブロン注１ｍｇ,扶桑薬品工業,,,,58,,
注射薬,3136401A1192,ヒドロキソコバラミン酢酸塩,１ｍｇ１管,,,,フレスミンＳ注射液１０００μｇ,エイワイファーマ,,,,101,,
注射薬,3136402A1014,シアノコバラミン,１００μｇ１管,局,,,シアノコバラミン注射液,,,,,84,,
注射薬,3136402A3017,シアノコバラミン,１ｍｇ１管,局,,,シアノコバラミン注射液,,,,,84,,
注射薬,3136403A1019,メコバラミン,０．５ｍｇ１管,,,,メコバラミン０．５ｍｇ注射液,,後発品,,,57,,
注射薬,3136403A1140,メコバラミン,０．５ｍｇ１管,,,,メチコバール注射液５００μｇ,エーザイ,,先発品,○,102,,
注射薬,3136403G1038,メコバラミン,５００μｇ１ｍＬ１筒,,,,メコバラミン注５００μｇシリンジ「ＮＰ」,ニプロ,後発品,,,149,,
注射薬,3140400A2014,アスコルビン酸,１００ｍｇ１管,局,,,アスコルビン酸注射液,,,,,84,,
注射薬,3140400A2103,アスコルビン酸,１００ｍｇ１管,局,,,ビタシミン注射液１００ｍｇ,武田テバ薬品,,,,88,,
注射薬,3140400A3010,アスコルビン酸,２００ｍｇ１管,局,,,アスコルビン酸注射液,,,,,84,,
注射薬,3140400A4017,アスコルビン酸,５００ｍｇ１管,局,,,アスコルビン酸注射液,,,,,84,,
注射薬,3140400A4106,アスコルビン酸,５００ｍｇ１管,局,,,ビタシミン注射液５００ｍｇ,武田テバ薬品,,,,88,,
注射薬,3140400A5013,アスコルビン酸,１ｇ１管,局,,,アスコルビン酸注射液,,,,,84,,
注射薬,3140400A6010,アスコルビン酸,２ｇ１管,局,,,アスコルビン酸注射液,,,,,84,,
注射薬,3140401A1039,アスコルビン酸,５００ｍｇ１管,局,,,アスコルビン酸注５００ｍｇＰＢ「日新」,日新製薬（山形）,後発品,,,57,,
注射薬,3140500A2020,アスコルビン酸・Ｌ－システイン,２０ｍＬ１管,,,,クリストファン注,日新製薬（山形）,後発品,,,58,,
注射薬,3160401A6041,メナテトレノン,１０ｍｇ１管,,,,ケイツーＮ静注１０ｍｇ,エーザイ,,先発品,,69,,
注射薬,3172400A1011,チアミン・アスコルビン酸配合剤,５ｍＬ１管,,,,チアミン・アスコルビン酸配合５ｍＬ注射液,,後発品,,,59,,
注射薬,3179503A1022,チアミン塩化物塩酸塩・Ｂ６・Ｂ１２配合剤,２ｍＬ１管,,,,ダイビタミックス注,原沢製薬工業,,,,57,,
注射薬,3179504A1019,チアミンジスルフィド・Ｂ６・Ｂ１２配合剤,１０ｍＬ１管,,,,チアミンジスルフィド・Ｂ６・Ｂ１２配合１０ｍＬ注射液,,後発品,,,58,,
注射薬,3179504A1116,チアミンジスルフィド・Ｂ６・Ｂ１２配合剤,１０ｍＬ１管,,,,ネオラミン・スリービー液（静注用）,日本化薬,,,,117,,
注射薬,3179506F1023,チアミンモノホスフェイトジスルフィド・Ｂ６・Ｂ１２配合剤,１瓶,,,,ビタメジン静注用,アルフレッサファーマ,,,,107,,
注射薬,3179507A1020,チアミン・ニコチン酸アミド配合剤,２ｍＬ１管,,,,シーパラ注,高田製薬,,,,57,,
注射薬,3179513A1026,高カロリー輸液用総合ビタミン剤,１瓶１管１組,,,,オーツカＭＶ注,大塚製薬工場,,先発品,,239,,
注射薬,3179514F1028,高カロリー輸液用総合ビタミン剤,１瓶,,,,マルタミン注射用,エイワイファーマ,,先発品,,333,,
注射薬,3179515F1030,高カロリー輸液用総合ビタミン剤,１瓶,,,,ダイメジン・マルチ注,日医工ファーマ,後発品,,,196,,
注射薬,3179517G1035,高カロリー輸液用総合ビタミン剤,２筒１キット,,,,ビタジェクト注キット,テルモ,後発品,,,260,,
注射薬,3190400A1036,ビオチン,１ｍｇ１管,,,,ビオチン注１ｍｇ「フソー」,扶桑薬品工業,,,,61,,
注射薬,3213400A2047,グルコン酸カルシウム水和物,８．５％５ｍＬ１管,,,,カルチコール注射液８．５％５ｍＬ,日医工,,,,59,,
注射薬,3213400A3043,グルコン酸カルシウム水和物,８．５％１０ｍＬ１管,,,,カルチコール注射液８．５％１０ｍＬ,日医工,,,,67,,
注射薬,3215400A1010,塩化カルシウム水和物,０．５モル２０ｍＬ１管,局,,,塩化カルシウム注射液,,,,,96,,
注射薬,3215400A2017,塩化カルシウム水和物,２％２０ｍＬ１管,局,,,塩化カルシウム注射液,,,,,90,,
注射薬,3215400A2076,塩化カルシウム水和物,２％２０ｍＬ１管,局,,,大塚塩カル注２％,大塚製薬工場,,,,94,,
注射薬,3222400A1058,含糖酸化鉄,４０ｍｇ２ｍＬ１管,,,,フェジン静注４０ｍｇ,日医工,,,,90,,
注射薬,3222404A1021,カルボキシマルトース第二鉄,５００ｍｇ１０ｍＬ１瓶,,,,フェインジェクト静注５００ｍｇ,ゼリア新薬工業,,先発品,,5969,,
注射薬,3229400A1032,塩化カリウム,１５％２０ｍＬ１管,,,,Ｋ．Ｃ．Ｌ．点滴液１５％,丸石製薬,,,,141,,
注射薬,3229401A1010,Ｌ－アスパラギン酸カリウム,１７．１２％１０ｍＬ１管,,,,Ｌ－アスパラギン酸カリウム１７．１２％１０ｍＬ注射液,,後発品,,,57,,
注射薬,3229401A1096,Ｌ－アスパラギン酸カリウム,１７．１２％１０ｍＬ１管,,,,アスパラカリウム注１０ｍＥｑ,ニプロＥＳファーマ,,,,60,,
注射薬,3229401G1021,Ｌ－アスパラギン酸カリウム,１７．１２％１０ｍＬ１キット,,,,アスパラギン酸カリウム注１０ｍＥｑキット「テルモ」,テルモ,後発品,,,168,,
注射薬,3229402A1023,亜セレン酸ナトリウム,１００μｇ２ｍＬ１瓶,,,,アセレンド注１００μｇ,藤本製薬,,先発品,,1646,,
注射薬,3229500A1022,アスパラギン酸カリウム・マグネシウム,（１０％）１０ｍＬ１管,,,,アスパラ注射液,ニプロＥＳファーマ,,,,59,,
注射薬,3229501A1019,塩化マンガン・硫酸亜鉛水和物配合剤,２ｍＬ１管,,,,塩化マンガン・硫酸亜鉛配合２ｍＬ注射液,,後発品,,,59,,
注射薬,3229501A1027,塩化マンガン・硫酸亜鉛水和物配合剤,２ｍＬ１管,,,,エレメンミック注,エイワイファーマ,,先発品,○,133,,
注射薬,3229501A1043,塩化マンガン・硫酸亜鉛水和物配合剤,２ｍＬ１管,,,,ボルビックス注,富士薬品,後発品,,,97,,
注射薬,3229501A1078,塩化マンガン・硫酸亜鉛水和物配合剤,２ｍＬ１管,,,,ミネラミック注,東和薬品,後発品,,,97,,
注射薬,3229501G1046,塩化マンガン・硫酸亜鉛水和物配合剤,２ｍＬ１筒,,,,メドレニック注シリンジ,武田テバファーマ,後発品,,,167,,
注射薬,3229501G1070,塩化マンガン・硫酸亜鉛水和物配合剤,２ｍＬ１筒,,,,エレジェクト注シリンジ,テルモ,後発品,,,167,,
注射薬,3229501G1089,塩化マンガン・硫酸亜鉛水和物配合剤,２ｍＬ１筒,,,,ミネリック－５配合点滴静注シリンジ,ニプロ,後発品,,,167,,
注射薬,3229502A1056,塩化第二鉄・硫酸亜鉛水和物配合剤,２ｍＬ１管,,,,ボルビサール注,富士薬品,後発品,,,137,,
注射薬,3231400G1025,ブドウ糖,５％１００ｍＬ１キット,局,,,大塚糖液５％ＴＮ,大塚製薬工場,,,,155,,
注射薬,3231400G2021,ブドウ糖,５％５０ｍＬ１キット,局,,,大塚糖液５％ＴＮ,大塚製薬工場,,,,155,,
注射薬,3231400G3028,ブドウ糖,５％５０ｍＬ１キット,局,,,５％糖液キットＨ,ニプロ,後発品,,,155,,
注射薬,3231400G4024,ブドウ糖,５％１００ｍＬ１キット,局,,,５％糖液キットＨ,ニプロ,後発品,,,155,,
注射薬,3231400G6035,ブドウ糖,５％１００ｍＬ１キット,局,,,テルモ糖注ＴＫ,テルモ,後発品,,,155,,
注射薬,3231400G9034,ブドウ糖,５０％２０ｍＬ１筒,局,,,ブドウ糖注５０％シリンジ「テルモ」,テルモ,後発品,,,111,,
注射薬,3231400P1033,ブドウ糖,５％２０ｍＬ１筒,局,,,ブドウ糖注５％シリンジ「ＮＰ」,ニプロ,後発品,,,171,,
注射薬,3231400P3036,ブドウ糖,２０％２０ｍＬ１筒,局,,,ブドウ糖注２０％シリンジ「ＮＰ」,ニプロ,後発品,,,175,,
注射薬,3231400P4032,ブドウ糖,５％１００ｍＬ１キット,局,,,大塚糖液５％２ポート１００ｍＬ,大塚製薬工場,後発品,,,155,,
注射薬,3231400P6027,ブドウ糖,５％５０ｍＬ１キット,局,,,大塚糖液５％２ポート５０ｍＬ,大塚製薬工場,後発品,,,155,,
注射薬,3231400P7023,ブドウ糖,５％５０ｍＬ１キット,局,,,テルモ糖注ＴＫ,テルモ,後発品,,,155,,
注射薬,3231401A1019,ブドウ糖,５％２０ｍＬ１管,,,,ブドウ糖注射液,,,,,66,,
注射薬,3231401A1094,ブドウ糖,５％２０ｍＬ１管,局,,,大塚糖液５％,大塚製薬工場,,,,66,,
注射薬,3231401A1132,ブドウ糖,５％２０ｍＬ１管,局,,,ブドウ糖注５％ＰＬ「フソー」,扶桑薬品工業,,,,66,,
注射薬,3231401A1159,ブドウ糖,５％２０ｍＬ１管,局,,,光糖液５％,光製薬,,,,66,,
注射薬,3231401A1167,ブドウ糖,５％２０ｍＬ１管,局,,,ブドウ糖注射液５％「マイラン」,マイラン製薬,,,,66,,
注射薬,3231401A1183,ブドウ糖,５％２０ｍＬ１管,局,,,糖液注５％「ＡＦＰ」,アルフレッサファーマ,,,,66,,
注射薬,3231401A2015,ブドウ糖,５％１００ｍＬ１瓶,局,,,ブドウ糖注射液,,,,,136,,
注射薬,3231401A3011,ブドウ糖,５％２００ｍＬ１瓶,局,,,ブドウ糖注射液,,,,,159,,
注射薬,3231401A4018,ブドウ糖,５％２５０ｍＬ１瓶,局,,,ブドウ糖注射液,,,,,177,,
注射薬,3231401A4026,ブドウ糖,５％２５０ｍＬ１瓶,局,,,大塚糖液５％,大塚製薬工場,,,,189,,
注射薬,3231401A4077,ブドウ糖,５％２５０ｍＬ１瓶,局,,,ブドウ糖注射液５％「マイラン」,マイラン製薬,,,,189,,
注射薬,3231401A6010,ブドウ糖,５％５００ｍＬ１瓶,局,,,ブドウ糖注射液,,,,,221,,
注射薬,3231401A7017,ブドウ糖,５％１Ｌ１瓶,局,,,ブドウ糖注射液,,,,,220,,
注射薬,3231401A9095,ブドウ糖,１０％５００ｍＬ１瓶,局,,,ブドウ糖注１０％ＰＬ「フソー」,扶桑薬品工業,,,,211,,
注射薬,3231401H1017,ブドウ糖,２０％２０ｍＬ１管,,,,ブドウ糖注射液,,,,,67,,
注射薬,3231401H1025,ブドウ糖,２０％２０ｍＬ１管,局,,,２０％ブドウ糖注「日医工」,日医工,,,,67,,
注射薬,3231401H1033,ブドウ糖,２０％２０ｍＬ１管,局,,,大塚糖液２０％,大塚製薬工場,,,,67,,
注射薬,3231401H1254,ブドウ糖,２０％２０ｍＬ１管,局,,,ブドウ糖注２０％ＰＬ「フソー」,扶桑薬品工業,,,,67,,
注射薬,3231401H1270,ブドウ糖,２０％２０ｍＬ１管,局,,,光糖液２０％,光製薬,,,,67,,
注射薬,3231401H1289,ブドウ糖,２０％２０ｍＬ１管,局,,,ブドウ糖注２０％「ＮＰ」,ニプロ,,,,67,,
注射薬,3231401H1319,ブドウ糖,２０％２０ｍＬ１管,局,,,ブドウ糖注射液２０％「マイラン」,マイラン製薬,,,,67,,
注射薬,3231401H1327,ブドウ糖,２０％２０ｍＬ１管,局,,,糖液注２０％「ＡＦＰ」,アルフレッサファーマ,,,,67,,
注射薬,3231401H6027,ブドウ糖,４０％２０ｍＬ１管,局,,,大塚糖液４０％,大塚製薬工場,,,,99,,
注射薬,3231401H6051,ブドウ糖,４０％２０ｍＬ１管,局,,,ブドウ糖注４０％ＰＬ「フソー」,扶桑薬品工業,,,,98,,
注射薬,3231401H7015,ブドウ糖,５０％２０ｍＬ１管,,,,ブドウ糖注射液,,,,,97,,
注射薬,3231401H7023,ブドウ糖,５０％２０ｍＬ１管,局,,,大塚糖液５０％,大塚製薬工場,,,,99,,
注射薬,3231401H7112,ブドウ糖,５０％２０ｍＬ１管,局,,,ブドウ糖注５０％ＰＬ「フソー」,扶桑薬品工業,,,,99,,
注射薬,3231401H7139,ブドウ糖,５０％２０ｍＬ１管,局,,,光糖液５０％,光製薬,,,,99,,
注射薬,3231401H7147,ブドウ糖,５０％２０ｍＬ１管,局,,,糖液注５０％「ＡＦＰ」,アルフレッサファーマ,,,,99,,
注射薬,3231401H9018,ブドウ糖,５０％３００ｍＬ１瓶,局,,,ブドウ糖注射液,,,,,256,,
注射薬,3231401J1019,ブドウ糖,５％１００ｍＬ１袋,局,,,ブドウ糖注射液,,,,,136,,
注射薬,3231401J3011,ブドウ糖,５０％２００ｍＬ１袋,局,,,ブドウ糖注射液,,,,,317,,
注射薬,3231401J4018,ブドウ糖,５０％５００ｍＬ１袋,局,,,ブドウ糖注射液,,,,,360,,
注射薬,3231401J5014,ブドウ糖,７０％３５０ｍＬ１袋,局,,,ブドウ糖注射液,,,,,395,,
注射薬,3231401J6010,ブドウ糖,５％２５０ｍＬ１袋,局,,,ブドウ糖注射液,,,,,189,,
注射薬,3231401J7017,ブドウ糖,１０％２０ｍＬ１管,局,,,ブドウ糖注射液,,,,,66,,
注射薬,3231401Q2013,ブドウ糖,５０％５００ｍＬ１瓶,局,,,ブドウ糖注射液,,,,,309,,
注射薬,3231401Q3010,ブドウ糖,５％５００ｍＬ１袋,局,,,ブドウ糖注射液,,,,,221,,
注射薬,3231401Q4016,ブドウ糖,５０％１００ｍＬ１瓶,局,,,ブドウ糖注射液,,,,,157,,
