"薬価基準収載
医薬品コード",成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,"収載年月日(YYYYMMDD)
【例】
2014年4月1日
(20140401)",備考
2619700Q1192,アクリノール水和物,アクリノール液０．１％「シオエ」,,,
2619700Q1206,アクリノール水和物,アクリノール消毒用液０．１％「マルイシ」,,,
2619700Q1214,アクリノール水和物,アクリノール消毒液０．１％「タイセイ」,３,,
2619700Q1222,アクリノール水和物,アクリノール消毒液０．１％「東豊」,,,
2619700Q1230,アクリノール水和物,アクリノール消毒液０．１％「ＮＰ」,,,
2619700Q1249,アクリノール水和物,アクリノール消毒液０．１％「昭和」,３,,
2619700Q1257,アクリノール水和物,アクリノール消毒液０．１％「ニッコー」,３,,
2619700Q2024,アクリノール水和物,アクリノール液・コザカイ（０．２％）,３,,
2619700Q2032,アクリノール水和物,アクリノール０．２％液「ヨシダ」,,,
2619700Q2083,アクリノール水和物,リバオール液,３,,
2619700Q2105,アクリノール水和物,ケンエーアクリノール液０．２,３,,
2619700Q2113,アクリノール水和物,アクリノール液０．２％「ヤクハン」,３,,
2619700Q2121,アクリノール水和物,アクリノール外用液０．２％「ヤマゼン」,３,,
2619700Q2130,アクリノール水和物,アクリノール消毒液０．２％「タイセイ」,３,,
2619700Q3047,アクリノール水和物,アクリノール０．５％液「ヨシダ」,,,
2619701X1019,クレオソート,クレオソート,,,
2619702Q1027,クロルヘキシジングルコン酸塩,オールカットＥＷ液（０．５％）,３,,
2619702Q1035,クロルヘキシジングルコン酸塩,ステリクロンＷエタノール液０．５,３,,
2619702Q1051,クロルヘキシジングルコン酸塩,ベンクロジド・エタノール液（０．５％）,３,,
2619702Q1060,クロルヘキシジングルコン酸塩,マスキンＷ・エタノール液（０．５ｗ／ｖ％）,３,,
2619702Q1078,クロルヘキシジングルコン酸塩,０．５％ヘキザックアルコール液,３,,
2619702Q1086,クロルヘキシジングルコン酸塩,０．５％ラポテックアルコール液,３,,
2619702Q1094,クロルヘキシジングルコン酸塩,クリゲンエタノール液０．５％（Ｗ）「エビス」,３,,
2619702Q1132,クロルヘキシジングルコン酸塩,ステリクロンＷ液０．５,３,,
2619702Q1159,クロルヘキシジングルコン酸塩,０．５ｗ／ｖ％マスキン水,３,,
2619702Q1167,クロルヘキシジングルコン酸塩,０．５％ラポテックアルコール（Ｗ）液,３,,
2619702Q1175,クロルヘキシジングルコン酸塩,０．５％ヘキザック水Ｗ,３,,
2619702Q1191,クロルヘキシジングルコン酸塩,クロバインＡ,３,,
2619702Q1213,クロルヘキシジングルコン酸塩,０．５％グルコジンＷ水,３,,
2619702Q1221,クロルヘキシジングルコン酸塩,フェルマジン・アルコールＷ消毒液（０．５ｗ／ｖ％）,３,,
2619702Q1248,クロルヘキシジングルコン酸塩,グルコジンＷ・エタノール液０．５％,３,,
2619702Q1256,クロルヘキシジングルコン酸塩,イワコールエタノール消毒液０．５％,３,,
2619702Q1264,クロルヘキシジングルコン酸塩,ヘヴィック消毒液０．５％,３,,
2619702Q1272,クロルヘキシジングルコン酸塩,クロルヘキシジングルコン酸塩消毒用液ＥＷ０．５％「ＮＰ」,３,,
2619702Q2023,クロルヘキシジングルコン酸塩,ステリクロンＲエタノール液０．５,３,,
2619702Q2040,クロルヘキシジングルコン酸塩,マスキンＲ・エタノール液（０．５ｗ／ｖ％）,３,,
2619702Q2058,クロルヘキシジングルコン酸塩,０．５％グルコン酸クロルヘキシジン・エタノール液「東海」,３,,
2619702Q2066,クロルヘキシジングルコン酸塩,クリゲンエタノール液０．５％（Ｒ）「エビス」,３,,
2619702Q2082,クロルヘキシジングルコン酸塩,ステリクロンＲ液０．５,３,,
2619702Q2090,クロルヘキシジングルコン酸塩,ベンクロジドＶエタノール液（０．５％）,３,,
2619702Q2104,クロルヘキシジングルコン酸塩,０．５％ヘキザック水Ｒ,３,,
2619702Q2112,クロルヘキシジングルコン酸塩,ステリクロンＢエタノール液０．５,３,,
2619702Q2120,クロルヘキシジングルコン酸塩,０．５％グルコジンＲ水,３,,
2619702Q2139,クロルヘキシジングルコン酸塩,０．５％ヘキザックアルコール液Ｎ,３,,
2619702Q2171,クロルヘキシジングルコン酸塩,グルコジンＢ・エタノール液０．５％,３,,
2619702Q2180,クロルヘキシジングルコン酸塩,グルコジンＲ・エタノール液０．５％,３,,
2619702Q3020,クロルヘキシジングルコン酸塩,「エビス」クリゲン液,３,,
2619702Q3054,クロルヘキシジングルコン酸塩,クロヘキシン液５％,３,,
2619702Q3070,クロルヘキシジングルコン酸塩,グルコン酸クロルヘキシジン５％液「メタル」,３,,
2619702Q3097,クロルヘキシジングルコン酸塩,５％ヘキザック液,３,,
2619702Q3100,クロルヘキシジングルコン酸塩,５％クロルヘキシジン液「ヤマゼン」,３,,
2619702Q3119,クロルヘキシジングルコン酸塩,５％グルコン酸クロルヘキシジン液「東海」,３,,
2619702Q3127,クロルヘキシジングルコン酸塩,５％グルコン酸クロルヘキシジン液「ヤクハン」,３,,
2619702Q3135,クロルヘキシジングルコン酸塩,５％ヒビテン液,,,
2619702Q3143,クロルヘキシジングルコン酸塩,５％フェルマジン液,３,,
2619702Q3151,クロルヘキシジングルコン酸塩,ベンクロジド５％液,３,,
2619702Q3160,クロルヘキシジングルコン酸塩,マスキン液（５Ｗ／Ｖ％）,３,,
2619702Q3194,クロルヘキシジングルコン酸塩,ステリクロン液５,３,,
2619702Q3216,クロルヘキシジングルコン酸塩,ラポテック消毒液５％,３,,
2619702Q3224,クロルヘキシジングルコン酸塩,５％グルコン酸クロルヘキシジン液「日医工」,３,,
2619702Q3232,クロルヘキシジングルコン酸塩,クロルヘキシジングルコン酸塩消毒用液５％「ＮＰ」,３,,
2619702Q4034,クロルヘキシジングルコン酸塩,ヒビディール消毒液０．０５％,,,
2619702Q5030,クロルヘキシジングルコン酸塩,５％グルクロ液,３,,
2619702Q5049,クロルヘキシジングルコン酸塩,ネオクレミール消毒液５％,３,,
2619702Q6029,クロルヘキシジングルコン酸塩,ステリクロンＲ液０．０５,３,,
2619702Q6045,クロルヘキシジングルコン酸塩,０．０５Ｗ／Ｖ％マスキン水,３,,
2619702Q6053,クロルヘキシジングルコン酸塩,０．０５％グルコジンＲ水,３,,
2619702Q6070,クロルヘキシジングルコン酸塩,０．０５％ヘキザック水Ｒ,３,,
2619702Q7025,クロルヘキシジングルコン酸塩,ステリクロンＲ液０．１,３,,
2619702Q7033,クロルヘキシジングルコン酸塩,０．１％ヘキザック水Ｒ,３,,
2619702Q7041,クロルヘキシジングルコン酸塩,０．１％グルコジンＲ水,３,,
2619702Q8021,クロルヘキシジングルコン酸塩,ステリクロンＷ液０．０２,３,,
2619702Q8030,クロルヘキシジングルコン酸塩,０．０２ｗ／ｖ％マスキン水,３,,
2619702Q8048,クロルヘキシジングルコン酸塩,０．０２％ヘキザック水Ｗ,３,,
2619702Q8056,クロルヘキシジングルコン酸塩,０．０２％グルコジンＷ水,３,,
2619702X1021,クロルヘキシジングルコン酸塩,ステリクロンＷ液０．１,３,,
2619702X1030,クロルヘキシジングルコン酸塩,０．１％ヘキザック水Ｗ,３,,
2619702X1048,クロルヘキシジングルコン酸塩,０．１ｗ／ｖ％マスキン水,３,,
2619702X1056,クロルヘキシジングルコン酸塩,０．１％グルコジンＷ水,３,,
2619702X2028,クロルヘキシジングルコン酸塩,ステリクロンＷ液０．０５,３,,
2619702X2036,クロルヘキシジングルコン酸塩,０．０５％グルコジンＷ水,３,,
2619702X2044,クロルヘキシジングルコン酸塩,０．０５％ヘキザック水Ｗ,３,,
2619702X3024,クロルヘキシジングルコン酸塩,ヘキシジンＥ液０．１,３,,
2619704X1012,フェノール,フェノール,,,
2619704X1063,フェノール,フェノール「コザカイ・Ｍ」,,,
2619704X1209,フェノール,フェノール（山善）,,,
2619704X1225,フェノール,フェノール「ニッコー」,,,
2619704X1276,フェノール,フェノール「東豊」,,,
2619705X1017,液状フェノール,液状フェノール,,,
2619705X1050,液状フェノール,液状フェノール「ケンエー」,,,
2619705X1203,液状フェノール,液状フェノール（山善）,,,
2619705X1238,液状フェノール,液状フェノール「ニッコー」,,,
2619705X1270,液状フェノール,液状フェノール「東豊」,,,
2619705X1289,液状フェノール,液状フェノール「日医工」,,,
2619706X1011,消毒用フェノール,消毒用フェノール,,,
2619707X1016,フェノール水,フェノール水,,,
2619707X1113,フェノール水,フェノール水「ニッコー」,,,
2619708X1010,ホルマリン,ホルマリン,,,
2619708X1061,ホルマリン,ホルマリン「ケンエー」,,,
2619708X1118,ホルマリン,ホルマリン「タイセイ」,,,
2619708X1193,ホルマリン,ホルマリン（山善）,,,
2619710X1018,マーキュロクロム,マーキュロクロム液,,,
2619710X1336,マーキュロクロム,マーキュロクロム液ＦＭ,,,
2619711X1020,レゾルシン,レゾルシン「純生」,３,,
2619713Q1017,クロルヘキシジングルコン酸塩,クロルヘキシジングルコン酸塩液,,,
2619713Q1076,クロルヘキシジングルコン酸塩,クロヘキシン液２０％,,,
2619713Q1106,クロルヘキシジングルコン酸塩,フェルマジン液２０％,,,
2619713Q1122,クロルヘキシジングルコン酸塩,２０Ｗ／Ｖ％マスキン液,,,
2619713Q1165,クロルヘキシジングルコン酸塩,グルコン酸クロルヘキシジン液２０Ｗ／Ｖ％（東洋製化）,,,
2619713Q1181,クロルヘキシジングルコン酸塩,ヒビテン・グルコネート液２０％,,,
2619713Q1190,クロルヘキシジングルコン酸塩,ヘキザック消毒液２０％,,,
2619714X1016,アクリノール水和物,アクリノール水和物,,,
2619714X1059,アクリノール水和物,アクリノール「ケンエー」,,,
2619714X1067,アクリノール水和物,アクリノール「コザカイ・Ｍ」,,,
2619714X1105,アクリノール水和物,アクリノール（東海製薬）,,,
2619714X1121,アクリノール水和物,アクリノール「ホエイ」,,,
2619714X1172,アクリノール水和物,アクリノール「ヤクハン」,,,
2619714X1180,アクリノール水和物,アクリノール（山善）,,,
2619714X1237,アクリノール水和物,アクリノール水和物原末「マルイシ」,,,
2619715Q1016,消毒用フェノール水,消毒用フェノール水,,,
2619716Q1029,アルキルジアミノエチルグリシン塩酸塩,エルエイジー１０液,３,,
2619716Q1053,アルキルジアミノエチルグリシン塩酸塩,キンサールＧ－１０液,３,,
2619716Q1061,アルキルジアミノエチルグリシン塩酸塩,コンクノール液１０％,３,,
2619716Q1088,アルキルジアミノエチルグリシン塩酸塩,サテニジン液１０,３,,
2619716Q1150,アルキルジアミノエチルグリシン塩酸塩,アルキニン液１０,３,,
2619716Q1177,アルキルジアミノエチルグリシン塩酸塩,ハイジール消毒用液１０％,３,,
2619716Q1185,アルキルジアミノエチルグリシン塩酸塩,テゴー５１消毒液１０％,,,
2619716Q1193,アルキルジアミノエチルグリシン塩酸塩,ウスノン消毒液１０％,３,,
2619716Q1207,アルキルジアミノエチルグリシン塩酸塩,ヒシパンチ消毒液１０％,３,,
2619716Q1215,アルキルジアミノエチルグリシン塩酸塩,アルキルジアミノエチルグリシン塩酸塩消毒液１０％「メタル」,３,,
2619716Q1223,アルキルジアミノエチルグリシン塩酸塩,両性石ケン液１０％「日医工」,３,,
2619716Q1231,アルキルジアミノエチルグリシン塩酸塩,アルキルジアミノエチルグリシン塩酸塩消毒用液１０％「ＮＰ」,３,,
2619716Q3021,アルキルジアミノエチルグリシン塩酸塩,エルエイジー０．０５液,３,,
2619716Q3030,アルキルジアミノエチルグリシン塩酸塩,サテニジン液０．０５,３,,
2619716Q3048,アルキルジアミノエチルグリシン塩酸塩,０．０５Ｗ／Ｖ％ハイジール水,３,,
2619716Q4028,アルキルジアミノエチルグリシン塩酸塩,エルエイジー０．５液,３,,
2619716Q4036,アルキルジアミノエチルグリシン塩酸塩,サテニジン液０．５,３,,
2619716Q4044,アルキルジアミノエチルグリシン塩酸塩,０．５Ｗ／Ｖ％ハイジール水,３,,
2619716Q5024,アルキルジアミノエチルグリシン塩酸塩,エルエイジー０．１液,３,,
2619716Q5032,アルキルジアミノエチルグリシン塩酸塩,サテニジン液０．１,３,,
2619716Q5040,アルキルジアミノエチルグリシン塩酸塩,０．１Ｗ／Ｖ％ハイジール水,３,,
2619716Q6020,アルキルジアミノエチルグリシン塩酸塩,エルエイジー０．２液,３,,
2619716Q6039,アルキルジアミノエチルグリシン塩酸塩,サテニジン液０．２,３,,
2619716Q6047,アルキルジアミノエチルグリシン塩酸塩,０．２Ｗ／Ｖ％ハイジール水,３,,
2619800X1020,エタノール,エチコール（ニワトリ印消毒用アルコール）,３,,
2619801X1025,エタノール,東豊消アル,,,
2619803X1024,エタノール,山善消アル,３,,
2619805X1023,エタノール,ネオ消アル「ヨシダ」,,,
2619805X1031,エタノール,メタル消アル,３,,
2619805X1066,エタノール,消毒用マルオアルコール,３,,
2619810X1040,エタノール,ネオ消アル「ヤクハン」,３,,
2619810X1059,エタノール,消毒用ネオアルコール「ケンエー」,,,
2619810X1067,エタノール,消毒用アルコール配合液「ＮＰ」,,,
2619813X1028,エタノール,ネオ兼一消アルＡ,３,,
2619815X1027,エタノール,消毒用昭和アルコール,３,,
2619816X1021,エタノール,消毒用タツミアルコール,３,,
2619817X1026,エタノール,ネオ消アル（山善）,３,,
2619819X1092,チオ硫酸ナトリウム水和物・エタノール,ハイポアルコール液２％「ヤクハン」,３,,
2619819X1106,チオ硫酸ナトリウム水和物・エタノール,ハイポエタノール液２％「ヨシダ」,３,,
2619819X1114,チオ硫酸ナトリウム水和物・エタノール,ハイポエタノール外用液２％「アトル」,３,,
2619819X1130,チオ硫酸ナトリウム水和物・エタノール,ハイポエタノール液２％「ケンエー」,３,,
2619819X1149,チオ硫酸ナトリウム水和物・エタノール,ハイポエタノール液２％「ニッコー」,３,,
2619820Q1031,エタノール,ネオ消アル「ニッコー」,３,,
2619820Q1040,エタノール,マルプロ消毒用液,,,
2619821X1022,エタノール,消毒用ミツマルアルコール,,,
2633701M1046,スルファジアジン,スルファジアジンパスタ５％「三恵」,３,,
2633701M1054,スルファジアジン,テラジアパスタ５％,,,
2633705N1031,スルファジアジン銀,ゲーベンクリーム１％,１,,
2634703X1014,テトラサイクリン塩酸塩,テトラサイクリン塩酸塩,,,
2634704M1047,テトラサイクリン塩酸塩,アクロマイシン軟膏３％,,,
2634705X1013,クロラムフェニコール,クロラムフェニコール,,,
2634706M1020,クロラムフェニコール,クロロマイセチン軟膏２％,,,
2634706Q1030,クロラムフェニコール,クロロマイセチン局所用液５％,,,
2634708M1037,フシジン酸ナトリウム,フシジンレオ軟膏２％,１,,
2634710M1042,ゲンタマイシン硫酸塩,ゲルナート軟膏０．１％,３,,
2634710M1050,ゲンタマイシン硫酸塩,ゲンタマイシン硫酸塩軟膏０．１％「タイヨー」,３,,
2634710M1069,ゲンタマイシン硫酸塩,エルタシン軟膏０．１％,３,,
2634710M1077,ゲンタマイシン硫酸塩,ゲンタシン軟膏０．１％,２,,
2634710M1085,ゲンタマイシン硫酸塩,ゲンタマイシン硫酸塩軟膏０．１％「イワキ」,３,20140620,
2634710N1030,ゲンタマイシン硫酸塩,ゲンタシンクリーム０．１％,２,,
2634711S1046,フラジオマイシン硫酸塩,ソフラチュール貼付剤１０ｃｍ,,,
2634711S2034,フラジオマイシン硫酸塩,ソフラチュール貼付剤３０ｃｍ,,,
2634712X1013,ポリミキシンＢ硫酸塩,ポリミキシンＢ硫酸塩,,,
2634712X1080,ポリミキシンＢ硫酸塩,硫酸ポリミキシンＢ散５０万単位「ファイザー」,,,
2634712X2010,ポリミキシンＢ硫酸塩,ポリミキシンＢ硫酸塩,,,
2634712X2087,ポリミキシンＢ硫酸塩,硫酸ポリミキシンＢ散３００万単位「ファイザー」,,,
2634713M1020,クリンダマイシンリン酸エステル,ダラシンＴゲル１％,２,,
2634713M1038,クリンダマイシンリン酸エステル,クリンダマイシンゲル１％「クラシエ」,３,,
2634713M1046,クリンダマイシンリン酸エステル,クリンダマイシンゲル１％「タイヨー」,３,,
2634713M1054,クリンダマイシンリン酸エステル,クリンダマイシンリン酸エステルゲル１％「イワキ」,３,,
2634713M1062,クリンダマイシンリン酸エステル,クリンダマイシンリン酸エステルゲル１％「サワイ」,３,,
2634713M1070,クリンダマイシンリン酸エステル,クリンダマイシンゲル１％「ＤＫ」,３,,
2634713Q1021,クリンダマイシンリン酸エステル,ダラシンＴローション１％,２,,
2639700M1029,ナジフロキサシン,アクアチム軟膏１％,２,,
2639700N1032,ナジフロキサシン,アクアチムクリーム１％,２,,
2639700N1040,ナジフロキサシン,ナジフロクリーム１％,３,,
2639700N1059,ナジフロキサシン,ナジロキサンクリーム１％,３,,
2639700N1067,ナジフロキサシン,ナジフロキサシンクリーム１％「トーワ」,３,,
2639700Q1039,ナジフロキサシン,ナジフロローション１％,３,,
2639700Q1047,ナジフロキサシン,ナジロキサンローション１％,３,,
2639700Q1055,ナジフロキサシン,アクアチムローション１％,２,,
2639700Q1063,ナジフロキサシン,ナジフロキサシンローション１％「トーワ」,３,,
2639802M1026,クロラムフェニコール・フラジオマイシン配合剤,クロマイ－Ｐ軟膏,,,
2639802M1034,クロラムフェニコール・フラジオマイシン配合剤,ハイセチンＰ軟膏,３,,
2639804M1025,オキシテトラサイクリン塩酸塩・ポリミキシンＢ硫酸塩,テラマイシン軟膏（ポリミキシンＢ含有）,,,
2639805M1020,バシトラシン・フラジオマイシン硫酸塩,バラマイシン軟膏,,,
2639806L1029,フラジオマイシン硫酸塩・トリプシン,フランセチン・Ｔ・パウダー,,,
2641700X1015,サリチル酸メチル,サリチル酸メチル,,,
2642701X1017,ジフェンヒドラミン,ジフェンヒドラミン,,,
2642702N1029,ジフェンヒドラミン,レスタミンコーワクリーム１％,,,
2642702N1037,ジフェンヒドラミン,ジフェンヒドラミンクリーム１％「タイヨー」,,,
2642703M1036,ジフェンヒドラミンラウリル硫酸塩,ベナパスタ軟膏４％,,,
2643700X1010,アンモニア水,アンモニア水,,,
2643700X1060,アンモニア水,アンモニア水「ケンエー」,,,
2643700X1079,アンモニア水,アンモニア水「コザカイ・Ｍ」,,,
2643700X1109,アンモニア水,アンモニア水「タイセイ」,,,
2643700X1150,アンモニア水,アンモニア水「マルイシ」,,,
2643700X1192,アンモニア水,アンモニア水（山善）,,,
2643700X1257,アンモニア水,アンモニア水「ニッコー」,,,
2644700X1114,酢酸鉛,山善酢酸鉛,３,,
2645700Q1028,カンフル,「エビス」カンフル精,３,,
2645700Q1044,カンフル,カンフル精（小堺）,３,,
2645700Q1060,カンフル,カンフル精（東洋製薬）,,,
2645700Q1079,カンフル,カンフル精（フヂミ）,３,,
2645700Q1095,カンフル,カンフル精（ヤクハン）,３,,
2645700Q1109,カンフル,カンフル精（山善）,３,,
2645700Q1150,カンフル,東豊カンフルチンキ,,,
2645701X1019,ｄｌ－カンフル,ｄｌ－カンフル,,,
2645702X1013,ｄ－カンフル,ｄ－カンフル,,,
2646700M1147,ジフルコルトロン吉草酸エステル,アルゾナ軟膏０．１％,３,,
2646700M1155,ジフルコルトロン吉草酸エステル,テクスメテン軟膏０．１％,２,,
2646700M1163,ジフルコルトロン吉草酸エステル,ネリゾナ軟膏０．１％,２,,
2646700N1134,ジフルコルトロン吉草酸エステル,アルゾナユニバーサルクリーム０．１％,３,,
2646700N1142,ジフルコルトロン吉草酸エステル,テクスメテン　ユニバーサル　クリーム０．１％,２,,
2646700N1150,ジフルコルトロン吉草酸エステル,ネリゾナクリーム０．１％,２,,
2646700N1169,ジフルコルトロン吉草酸エステル,ネリゾナユニバーサルクリーム０．１％,２,,
2646700Q1050,ジフルコルトロン吉草酸エステル,ネリゾナソリューション０．１％,２,,
2646701M2016,ベタメタゾン吉草酸エステル,ベタメタゾン吉草酸エステル０．１２％軟膏,３,,
2646701M2105,ベタメタゾン吉草酸エステル,ベクトミラン軟膏０．１２％,３,,
2646701M2156,ベタメタゾン吉草酸エステル,リンデロン－Ｖ軟膏０．１２％,,,
2646701M2180,ベタメタゾン吉草酸エステル,ベトネベート軟膏０．１２％,,,
2646701N2011,ベタメタゾン吉草酸エステル,ベタメタゾン吉草酸エステル０．１２％クリーム,３,,
2646701N2135,ベタメタゾン吉草酸エステル,リンデロン－Ｖクリーム０．１２％,,,
2646701N2160,ベタメタゾン吉草酸エステル,ベトネベートクリーム０．１２％,,,
2646701Q1011,ベタメタゾン吉草酸エステル,ベタメタゾン吉草酸エステル０．１２％ローション,３,,
2646701Q1038,ベタメタゾン吉草酸エステル,リンデロン－Ｖローション,,,
2646703M1019,ベタメタゾンジプロピオン酸エステル,ベタメタゾンジプロピオン酸エステル０．０６４％軟膏,３,,
2646703M1094,ベタメタゾンジプロピオン酸エステル,リンデロン－ＤＰ軟膏,２,,
2646703M1140,ベタメタゾンジプロピオン酸エステル,ダイプロセル軟膏０．０６４％,３,,
2646703M1159,ベタメタゾンジプロピオン酸エステル,ディーピーポロン軟膏０．０６４％,３,,
2646703M1183,ベタメタゾンジプロピオン酸エステル,ベタメタゾンジプロピオン酸エステル軟膏０．０６４％「テイコク」,３,,
2646703N1014,ベタメタゾンジプロピオン酸エステル,ベタメタゾンジプロピオン酸エステル０．０６４％クリーム,３,,
2646703N1073,ベタメタゾンジプロピオン酸エステル,リンデロン－ＤＰクリーム,２,,
2646703N1120,ベタメタゾンジプロピオン酸エステル,ダイプロセルクリーム０．０６４％,３,,
2646703N1138,ベタメタゾンジプロピオン酸エステル,ディーピーポロンクリーム０．０６４％,３,,
2646703N1154,ベタメタゾンジプロピオン酸エステル,ベタメタゾンジプロピオン酸エステルクリーム０．０６４％「テイコク」,３,,
2646703Q1029,ベタメタゾンジプロピオン酸エステル,リンデロン－ＤＰゾル,２,,
2646703Q2017,ベタメタゾンジプロピオン酸エステル,ベタメタゾンジプロピオン酸エステル０．０６４％ローション,３,,
2646704M2010,デキサメタゾン,デキサメタゾン０．１％軟膏,３,,
2646704N1019,デキサメタゾン,デキサメタゾン０．１％クリーム,３,,
2646704N1043,デキサメタゾン,オイラゾンクリーム０．１％,３,,
2646704N2023,デキサメタゾン,オイラゾンクリーム０．０５％,３,,
2646704Q1015,デキサメタゾン,デキサメタゾン０．１％ローション,３,,
2646705M1018,トリアムシノロンアセトニド,トリアムシノロンアセトニド０．１％軟膏,３,,
2646705M1107,トリアムシノロンアセトニド,レダコート軟膏０．１％,,,
2646705M1123,トリアムシノロンアセトニド,トリシノロンゲル０．１％,３,,
2646705N1013,トリアムシノロンアセトニド,トリアムシノロンアセトニド０．１％クリーム,３,,
2646705N1072,トリアムシノロンアセトニド,レダコートクリーム０．１％,,,
2646705N1099,トリアムシノロンアセトニド,トリシノロンクリーム０．１％,３,,
2646708M1216,フルオシノニド,トプシム軟膏０．０５％,２,,
2646708M1232,フルオシノニド,シマロン軟膏０．０５％,３,,
2646708M1240,フルオシノニド,ベスタゾン軟膏０．０５％,３,,
2646708M1259,フルオシノニド,グリコベース軟膏０．０５％,３,,
2646708M1275,フルオシノニド,フルオシノニド軟膏０．０５％「ＹＤ」,３,,
2646708M1283,フルオシノニド,フルオシノニド軟膏０．０５％「テイコク」,３,,
2646708N1220,フルオシノニド,ソルニムクリーム０．０５％,３,,
2646708N1238,フルオシノニド,トプシムＥクリーム０．０５％,２,,
2646708N1246,フルオシノニド,トプシムクリーム０．０５％,２,,
2646708N1262,フルオシノニド,シマロンクリーム０．０５％,３,,
2646708N1270,フルオシノニド,シマロンゲル０．０５％,３,,
2646708N1289,フルオシノニド,ベスタゾンクリーム０．０５％,３,,
2646708N1319,フルオシノニド,フルオシノニドクリーム０．０５％「テイコク」,３,,
2646708Q1030,フルオシノニド,トプシムローション０．０５％,２,,
2646708R2031,フルオシノニド,トプシムスプレー０．０１４３％,２,,
2646709M1121,フルオシノロンアセトニド,フルコート軟膏０．０２５％,,,
2646709M1130,フルオシノロンアセトニド,ポリシラール軟膏０．０２５％,３,,
2646709M1148,フルオシノロンアセトニド,フルポロン軟膏０．０２５％,３,,
2646709M1156,フルオシノロンアセトニド,フルオシノロンアセトニド軟膏０．０２５％「ＹＤ」,３,,
2646709N1100,フルオシノロンアセトニド,フルコートクリーム０．０２５％,,,
2646709Q1034,フルオシノロンアセトニド,フルコート外用液０．０１％,,,
2646709R2036,フルオシノロンアセトニド,フルコートスプレー０．００７％,,,
2646711S2051,フルドロキシコルチド,ドレニゾンテープ４μｇ／ｃ㎡,,,
2646712M1190,プレドニゾロン,プレドニゾロン軟膏０．５％「マイラン」,３,,
2646712N1056,プレドニゾロン,プレドニゾロンクリーム０．５％「タツミ」,,,
2646712N1064,プレドニゾロン,プレドニゾロンクリーム０．５％「マヤ」,３,,
2646712N1072,プレドニゾロン,プレドニゾロンクリーム０．５％「ＹＤ」,,,
2646712N1080,プレドニゾロン,プレドニゾロンクリーム０．５％「テイコク」,,,
2646713M1012,クロベタゾールプロピオン酸エステル,クロベタゾールプロピオン酸エステル０．０５％軟膏,３,,
2646713M1136,クロベタゾールプロピオン酸エステル,デルモベート軟膏０．０５％,２,,
2646713M1144,クロベタゾールプロピオン酸エステル,ソルベガ軟膏０．０５％,３,,
2646713M1152,クロベタゾールプロピオン酸エステル,マイアロン軟膏０．０５％,３,,
2646713M1187,クロベタゾールプロピオン酸エステル,マハディ軟膏０．０５％,３,,
2646713N1018,クロベタゾールプロピオン酸エステル,クロベタゾールプロピオン酸エステル０．０５％クリーム,３,,
2646713N1123,クロベタゾールプロピオン酸エステル,デルモベートクリーム０．０５％,２,,
2646713N1131,クロベタゾールプロピオン酸エステル,ソルベガクリーム０．０５％,３,,
2646713N1140,クロベタゾールプロピオン酸エステル,マイアロンクリーム０．０５％,３,,
2646713N1166,クロベタゾールプロピオン酸エステル,マハディクリーム０．０５％,３,,
2646713Q1014,クロベタゾールプロピオン酸エステル,クロベタゾールプロピオン酸エステル０．０５％液,３,,
2646713Q1081,クロベタゾールプロピオン酸エステル,デルモベートスカルプローション０．０５％,２,,
2646713Q1103,クロベタゾールプロピオン酸エステル,マイアロンローション０．０５％,３,,
2646713Q1111,クロベタゾールプロピオン酸エステル,マハディ外用液０．０５％,３,,
2646713Q1120,クロベタゾールプロピオン酸エステル,グリジールスカルプローション０．０５％,３,,
2646714M1181,ベクロメタゾンプロピオン酸エステル,プロパデルム軟膏０．０２５％,２,,
2646714M1190,ベクロメタゾンプロピオン酸エステル,ベクラシン軟膏０．０２５％,３,,
2646714N1160,ベクロメタゾンプロピオン酸エステル,プロパデルムクリーム０．０２５％,２,,
2646714N1179,ベクロメタゾンプロピオン酸エステル,ベクラシンクリーム０．０２５％,３,,
2646717M1088,ヒドロコルチゾン酪酸エステル,アボコート軟膏０．１％,３,,
2646717M1096,ヒドロコルチゾン酪酸エステル,ロコイド軟膏０．１％,２,,
2646717N1083,ヒドロコルチゾン酪酸エステル,ロコイドクリーム０．１％,２,,
2646718M1040,アムシノニド,ビスダーム軟膏０．１％,１,,
2646718N1045,アムシノニド,ビスダームクリーム０．１％,１,,
2646720M1063,プレドニゾロン吉草酸エステル酢酸エステル,ユーメトン軟膏０．３％,３,,
2646720M1071,プレドニゾロン吉草酸エステル酢酸エステル,スピラゾン軟膏０．３％,３,,
2646720M1080,プレドニゾロン吉草酸エステル酢酸エステル,リドメックスコーワ軟膏０．３％,２,,
2646720M1098,プレドニゾロン吉草酸エステル酢酸エステル,プレドニゾロン吉草酸エステル酢酸エステル軟膏０．３％「ＹＤ」,３,,
2646720N1077,プレドニゾロン吉草酸エステル酢酸エステル,ユーメトンクリーム０．３％,３,,
2646720N1085,プレドニゾロン吉草酸エステル酢酸エステル,スピラゾンクリーム０．３％,３,,
2646720N1093,プレドニゾロン吉草酸エステル酢酸エステル,リドメックスコーワクリーム０．３％,２,,
2646720N1107,プレドニゾロン吉草酸エステル酢酸エステル,プレドニゾロン吉草酸エステル酢酸エステルクリーム０．３％「ＹＤ」,３,,
