薬価基準収載医薬品コード,成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,収載年月日,経過措置による使用期限,備考
3399004M2014,イコサペント酸エチル,イコサペント酸エチル３００ｍｇカプセル,3,,,
3399004M2022,イコサペント酸エチル,エパデールＳ３００,2,,,
3399004M2030,イコサペント酸エチル,イコサペント酸エチル粒状カプセル３００ｍｇ「ＴＣ」,3,,,
3399004M2049,イコサペント酸エチル,イコサペント酸エチル粒状カプセル３００ｍｇ「ＴＣＫ」,3,,,
3399004M2057,イコサペント酸エチル,イコサペント酸エチル粒状カプセル３００ｍｇ「サワイ」,3,,,
3399004M2065,イコサペント酸エチル,イコサペント酸エチル粒状カプセル３００ｍｇ「日医工」,3,,,
3399004M2073,イコサペント酸エチル,エパロース粒状カプセル３００ｍｇ,3,,,
3399004M2081,イコサペント酸エチル,メルブラール粒状カプセル３００ｍｇ,3,,,
3399004M2090,イコサペント酸エチル,エパラ粒状カプセル３００ｍｇ,3,,,
3399004M3029,イコサペント酸エチル,エパデールＳ６００,2,,,
3399004M3037,イコサペント酸エチル,ソルミラン顆粒状カプセル６００ｍｇ,3,,,
3399004M3045,イコサペント酸エチル,イコサペント酸エチル粒状カプセル６００ｍｇ「ＴＣ」,3,,,
3399004M3053,イコサペント酸エチル,イコサペント酸エチル粒状カプセル６００ｍｇ「ＴＣＫ」,3,,,
3399004M3061,イコサペント酸エチル,イコサペント酸エチル粒状カプセル６００ｍｇ「サワイ」,3,,,
3399004M3070,イコサペント酸エチル,イコサペント酸エチル粒状カプセル６００ｍｇ「日医工」,3,,,
3399004M3088,イコサペント酸エチル,エパロース粒状カプセル６００ｍｇ,3,,,
3399004M3096,イコサペント酸エチル,メルブラール粒状カプセル６００ｍｇ,3,,,
3399004M3100,イコサペント酸エチル,エパラ粒状カプセル６００ｍｇ,3,,,
3399004M3118,イコサペント酸エチル,イコサペント酸エチル粒状カプセル６００ｍｇ「ＣＨ」,3,,,
3399004M4025,イコサペント酸エチル,エパデールＳ９００,2,,,
3399004M4033,イコサペント酸エチル,ソルミラン顆粒状カプセル９００ｍｇ,3,,,
3399004M4041,イコサペント酸エチル,イコサペント酸エチル粒状カプセル９００ｍｇ「ＴＣ」,3,,,
3399004M4050,イコサペント酸エチル,イコサペント酸エチル粒状カプセル９００ｍｇ「ＴＣＫ」,3,,,
3399004M4068,イコサペント酸エチル,イコサペント酸エチル粒状カプセル９００ｍｇ「サワイ」,3,,,
3399004M4076,イコサペント酸エチル,イコサペント酸エチル粒状カプセル９００ｍｇ「日医工」,3,,,
3399004M4084,イコサペント酸エチル,エパロース粒状カプセル９００ｍｇ,3,,,
3399004M4092,イコサペント酸エチル,メルブラール粒状カプセル９００ｍｇ,3,,,
3399004M4106,イコサペント酸エチル,エパラ粒状カプセル９００ｍｇ,3,,,
3399004M4114,イコサペント酸エチル,イコサペント酸エチル粒状カプセル９００ｍｇ「ＣＨ」,3,,,
3399005F1021,ベラプロストナトリウム,ドルナー錠２０μｇ,2,,,
3399005F1030,ベラプロストナトリウム,プロサイリン錠２０,2,,,
3399005F1196,ベラプロストナトリウム,ベラプロストＮａ錠２０μｇ「ファイザー」,3,,,
3399005F1200,ベラプロストナトリウム,ベラプロストＮａ錠２０μｇ「サワイ」,3,,,
3399005F1218,ベラプロストナトリウム,ベラプロストＮａ錠２０μｇ「ＹＤ」,3,,,
3399005F1226,ベラプロストナトリウム,ベラプロストＮａ錠２０μｇ「オーハラ」,3,,,
3399005F1234,ベラプロストナトリウム,ベラプロストＮａ錠２０μｇ「トーワ」,3,,,
3399005F1242,ベラプロストナトリウム,ベラプロストナトリウム錠２０μｇ「Ｆ」,3,,,
3399005F1250,ベラプロストナトリウム,ベラプロストＮａ錠２０μｇ「ＡＦＰ」,3,,,
3399005F1269,ベラプロストナトリウム,ベラプロストＮａ錠２０μｇ「テバ」,3,,,
3399005F1277,ベラプロストナトリウム,ベラプロストナトリウム錠２０μｇ「ＪＧ」,3,,,
3399005F1285,ベラプロストナトリウム,ベラプロストＮａ錠２０μｇ「アメル」,3,,,
3399005F1293,ベラプロストナトリウム,ベラプロストナトリウム錠２０μｇ「日医工」,3,,,
3399005F2060,ベラプロストナトリウム,ベラプロストＮａ錠４０μｇ「ＹＤ」,3,,,
3399005F2079,ベラプロストナトリウム,ベラプロストＮａ錠４０μｇ「トーワ」,3,,,
3399005F2087,ベラプロストナトリウム,ベラプロストＮａ錠４０μｇ「テバ」,3,,,
3399005F2095,ベラプロストナトリウム,ベラプロストナトリウム錠４０μｇ「日医工」,3,,,
3399006C1020,サルポグレラート塩酸塩,アンプラーグ細粒１０％,1,,,
3399006F1026,サルポグレラート塩酸塩,アンプラーグ錠５０ｍｇ,2,,,
3399006F1042,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「ＤＫ」,3,,,
3399006F1050,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「Ｆ」,3,,,
3399006F1069,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「ＪＧ」,3,,,
3399006F1085,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「ＭＥＥＫ」,3,,,
3399006F1093,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「ＮＰ」,3,,,
3399006F1107,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「ＮＳ」,3,,,
3399006F1115,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「ＴＣＫ」,3,,,
3399006F1123,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「ＴＳＵ」,3,,,
3399006F1131,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「ＴＹＫ」,3,,H31.3.31まで,
3399006F1140,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「ＹＤ」,3,,,
3399006F1158,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「アメル」,3,,,
3399006F1166,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「オーハラ」,3,,,
3399006F1174,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「ケミファ」,3,,,
3399006F1182,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「サワイ」,3,,,
3399006F1190,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「サンド」,3,,,
3399006F1204,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「三和」,3,,,
3399006F1220,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「トーワ」,3,,,
3399006F1239,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「日医工」,3,,,
3399006F1263,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「タカタ」,3,,,
3399006F1271,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「ファイザー」,3,,,
3399006F1280,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「杏林」,3,,,
3399006F1298,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠５０ｍｇ「テバ」,3,,,
3399006F2022,サルポグレラート塩酸塩,アンプラーグ錠１００ｍｇ,2,,,
3399006F2049,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「ＤＫ」,3,,,
3399006F2057,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「Ｆ」,3,,,
3399006F2065,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「ＪＧ」,3,,,
3399006F2081,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「ＭＥＥＫ」,3,,,
3399006F2090,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「ＮＰ」,3,,,
3399006F2103,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「ＮＳ」,3,,,
3399006F2111,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「ＴＣＫ」,3,,,
3399006F2120,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「ＴＳＵ」,3,,,
3399006F2138,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「ＴＹＫ」,3,,H31.3.31まで,
3399006F2146,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「ＹＤ」,3,,,
3399006F2154,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「アメル」,3,,,
3399006F2162,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「オーハラ」,3,,,
3399006F2170,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「ケミファ」,3,,,
3399006F2189,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「サワイ」,3,,,
3399006F2197,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「サンド」,3,,,
3399006F2200,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「三和」,3,,,
3399006F2227,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「トーワ」,3,,,
3399006F2235,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「日医工」,3,,,
3399006F2260,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「タカタ」,3,,,
3399006F2278,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「ファイザー」,3,,,
3399006F2286,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「杏林」,3,,,
3399006F2294,サルポグレラート塩酸塩,サルポグレラート塩酸塩錠１００ｍｇ「テバ」,3,,,
3399007H1021,アスピリン,バイアスピリン錠１００ｍｇ,3,,,
3399007H1030,アスピリン,ゼンアスピリン錠１００,3,,,
3399007H1048,アスピリン,アスピリン錠１００「ＫＮ」,3,,,
3399007H1080,アスピリン,アスピリン腸溶錠１００ｍｇ「トーワ」,3,,,
3399007H1099,アスピリン,アスピリン腸溶錠１００ｍｇ「タイヨー」,3,,H31.3.31まで,
3399007H1102,アスピリン,アスピリン腸溶錠１００ｍｇ「日医工」,3,,,
3399007H1110,アスピリン,アスピリン腸溶錠１００ｍｇ「ＪＧ」,3,,,
3399007H1129,アスピリン,アスピリン腸溶錠１００ｍｇ「ファイザー」,3,,,
3399008F1017,クロピドグレル硫酸塩,クロピドグレル硫酸塩２５ｍｇ錠,3,,,
3399008F1025,クロピドグレル硫酸塩,プラビックス錠２５ｍｇ,2,,,
3399008F1033,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「ＡＡ」,3,,,
3399008F1068,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「ＦＦＰ」,3,,,
3399008F1076,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「ＪＧ」,3,,,
3399008F1092,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「ＫＯ」,3,,,
3399008F1106,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「ＫＯＧ」,3,,,
3399008F1114,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「ＳＡＮＩＫ」,3,,,
3399008F1130,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「ＴＣＫ」,3,,,
3399008F1149,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「ＹＤ」,3,,,
3399008F1157,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「ＺＥ」,3,,,
3399008F1173,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「科研」,3,,,
3399008F1190,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「ケミファ」,3,,,
3399008F1203,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「サワイ」,3,,,
3399008F1211,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「サンド」,3,,,
3399008F1238,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「タナベ」,3,,,
3399008F1262,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「トーワ」,3,,,
3399008F1270,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「日新」,3,,,
3399008F1289,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「ニットー」,3,,,
3399008F1319,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「明治」,3,,,
3399008F1327,クロピドグレル硫酸塩,クロピドグレル錠２５ｍｇ「モチダ」,3,,,
3399008F2013,クロピドグレル硫酸塩,クロピドグレル硫酸塩７５ｍｇ錠,3,,,
3399008F2021,クロピドグレル硫酸塩,プラビックス錠７５ｍｇ,2,,,
3399008F2030,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「ＡＡ」,3,,,
3399008F2064,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「ＦＦＰ」,3,,,
3399008F2072,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「ＪＧ」,3,,,
3399008F2102,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「ＫＯＧ」,3,,,
3399008F2110,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「ＳＡＮＩＫ」,3,,,
3399008F2137,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「ＴＣＫ」,3,,,
3399008F2145,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「ＹＤ」,3,,,
3399008F2153,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「ＺＥ」,3,,,
3399008F2170,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「科研」,3,,,
3399008F2188,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「杏林」,3,,,
3399008F2196,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「ケミファ」,3,,,
3399008F2200,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「サワイ」,3,,,
3399008F2218,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「サンド」,3,,,
3399008F2226,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「三和」,3,,,
3399008F2234,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「タナベ」,3,,,
3399008F2242,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「ツルハラ」,3,,,
3399008F2250,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「テバ」,3,,,
3399008F2269,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「トーワ」,3,,,
3399008F2277,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「日新」,3,,,
3399008F2315,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「明治」,3,,,
3399008F2323,クロピドグレル硫酸塩,クロピドグレル錠７５ｍｇ「モチダ」,3,,,
3399008F3028,クロピドグレル硫酸塩,クロピドグレル錠５０ｍｇ「ＥＥ」,3,,,
3399008F3036,クロピドグレル硫酸塩,クロピドグレル錠５０ｍｇ「ＫＮ」,3,,,
3399008F3044,クロピドグレル硫酸塩,クロピドグレル錠５０ｍｇ「ＴＣＫ」,3,,,
3399008F3052,クロピドグレル硫酸塩,クロピドグレル錠５０ｍｇ「サワイ」,3,,,
3399008F3060,クロピドグレル硫酸塩,クロピドグレル錠５０ｍｇ「タナベ」,3,,,
3399008F3079,クロピドグレル硫酸塩,クロピドグレル錠５０ｍｇ「明治」,3,,,
3399009F1020,プラスグレル塩酸塩,エフィエント錠３．７５ｍｇ,1,,,
3399009F2026,プラスグレル塩酸塩,エフィエント錠５ｍｇ,1,,,
3399009F3022,プラスグレル塩酸塩,エフィエント錠２．５ｍｇ,1,,,
3399009F4029,プラスグレル塩酸塩,エフィエント錠２０ｍｇ,1,,,
3399010F1022,ルストロンボパグ,ムルプレタ錠３ｍｇ,1,,,
3399011F1027,チカグレロル,ブリリンタ錠６０ｍｇ,1,,,
3399011F2023,チカグレロル,ブリリンタ錠９０ｍｇ,1,,,
3399100F1086,アスピリン・ダイアルミネート,アスファネート配合錠Ａ８１,3,,,
3399100F1094,アスピリン・ダイアルミネート,ニトギス配合錠Ａ８１,3,,,
3399100F1108,アスピリン・ダイアルミネート,バッサミン配合錠Ａ８１,3,,,
3399100F1116,アスピリン・ダイアルミネート,バファリン配合錠Ａ８１,3,,,
3399100F1124,アスピリン・ダイアルミネート,ファモター配合錠Ａ８１,3,,,
3399101F1021,クロピドグレル硫酸塩・アスピリン,コンプラビン配合錠,1,,,
3399102F1026,アスピリン・ランソプラゾール,タケルダ配合錠,1,,,
3399400X1035,トロメタモール,サム点滴静注セット,1,,,
3399402D2034,ミリモスチム,ロイコプロール点滴静注用８００万単位,1,,,
3399403A1036,結核菌熱水抽出物,アンサー皮下注２０μｇ,1,,,
3399405A1027,フィルグラスチム（遺伝子組換え）,グラン注射液７５,2,,,
3399405A2023,フィルグラスチム（遺伝子組換え）,グラン注射液１５０,2,,,
3399405A4026,フィルグラスチム（遺伝子組換え）,グラン注射液Ｍ３００,2,,,
3399405G1020,フィルグラスチム（遺伝子組換え）,グランシリンジ７５,2,,,
3399405G2026,フィルグラスチム（遺伝子組換え）,グランシリンジ１５０,2,,,
3399405G3022,フィルグラスチム（遺伝子組換え）,グランシリンジＭ３００,2,,,
3399406D1028,レノグラスチム（遺伝子組換え）,ノイトロジン注５０μｇ,1,,,
3399406D2024,レノグラスチム（遺伝子組換え）,ノイトロジン注１００μｇ,1,,,
3399406D3020,レノグラスチム（遺伝子組換え）,ノイトロジン注２５０μｇ,1,,,
3399407D1022,ナルトグラスチム（遺伝子組換え）,ノイアップ注５０,1,,,
3399407D2029,ナルトグラスチム（遺伝子組換え）,ノイアップ注１００,1,,,
3399407D3025,ナルトグラスチム（遺伝子組換え）,ノイアップ注２５０,1,,,
3399407D4021,ナルトグラスチム（遺伝子組換え）,ノイアップ注２５,1,,,
3399408G1023,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続１］,フィルグラスチムＢＳ注７５μｇシリンジ「Ｆ」,3,,,
3399408G1031,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続１］,フィルグラスチムＢＳ注７５μｇシリンジ「モチダ」,3,,,
3399408G2020,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続１］,フィルグラスチムＢＳ注１５０μｇシリンジ「Ｆ」,3,,,
3399408G2038,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続１］,フィルグラスチムＢＳ注１５０μｇシリンジ「モチダ」,3,,,
3399408G3026,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続１］,フィルグラスチムＢＳ注３００μｇシリンジ「Ｆ」,3,,,
3399408G3034,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続１］,フィルグラスチムＢＳ注３００μｇシリンジ「モチダ」,3,,,
3399409G1028,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続２］,フィルグラスチムＢＳ注７５μｇシリンジ「ＮＫ」,3,,,
3399409G1036,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続２］,フィルグラスチムＢＳ注７５μｇシリンジ「テバ」,3,,,
3399409G2024,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続２］,フィルグラスチムＢＳ注１５０μｇシリンジ「ＮＫ」,3,,,
3399409G2032,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続２］,フィルグラスチムＢＳ注１５０μｇシリンジ「テバ」,3,,,
3399409G3020,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続２］,フィルグラスチムＢＳ注３００μｇシリンジ「ＮＫ」,3,,,
3399409G3039,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続２］,フィルグラスチムＢＳ注３００μｇシリンジ「テバ」,3,,,
3399410G1020,ペグフィルグラスチム（遺伝子組換え）,ジーラスタ皮下注３．６ｍｇ,1,,,
3399411G1025,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続３］,フィルグラスチムＢＳ注７５μｇシリンジ「サンド」,3,,,
3399411G2021,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続３］,フィルグラスチムＢＳ注１５０μｇシリンジ「サンド」,3,,,
3399411G3010,フィルグラスチム（遺伝子組換え）［フィルグラスチム後続３］,フィルグラスチム（遺伝子組換え）３００μｇ０．５ｍＬキット,3,,,
3399412A1027,イダルシズマブ（遺伝子組換え）,プリズバインド静注液２．５ｇ,1,,,
3399413A1021,プレリキサホル,モゾビル皮下注２４ｍｇ,1,,,
3399500G1025,ブドウ糖・無機塩類配合剤,アートセレブ脳脊髄手術用洗浄灌流液,1,,,
3399800Q1033,乳酸リンゲル,アルスロマチック関節手術用灌流液,1,,,
3410507A1031,人工透析液,キンダリー透析剤ＡＦ１号,,,,
3410508A1036,人工透析液,キンダリー透析剤ＡＦ１Ｐ号,,,,
3410520A1037,人工透析液,キンダリー透析剤ＡＦ２号,,,,
3410520A2033,人工透析液,キンダリー透析剤ＡＦ２Ｐ号,,,,
3410520A5032,人工透析液,キンダリー透析剤ＡＦ２号,,,,
3410520D2048,人工透析液,キンダリー透析剤２Ｅ,1,,,
3410520D2056,人工透析液,キドライム　透析剤　Ｔ－３０,1,,,
3410521A1031,人工透析液,ＡＫ－ソリタ透析剤・ＤＰ,1,,,
3410521A2038,人工透析液,ＡＫ－ソリタ透析剤・ＦＰ,1,,,
3410522A1036,人工透析液,ＡＫ－ソリタ透析剤・ＤＬ,1,,,
3410522A2032,人工透析液,ＡＫ－ソリタ透析剤・ＦＬ,1,,,
3410523A1030,人工透析液,キンダリー透析剤ＡＦ３号,1,,,
3410523A2037,人工透析液,キンダリー透析剤ＡＦ３Ｐ号,1,,,
3410523A4030,人工透析液,キンダリー透析剤ＡＦ３号,1,,,
3410523D1037,人工透析液,キンダリー透析剤３Ｄ,1,,,
3410523D2033,人工透析液,キンダリー透析剤３Ｅ,1,,,
3410525D3039,人工透析液,リンパック透析剤ＴＡ１,1,,,
3410526D2037,人工透析液,Ｄドライ透析剤２．５Ｓ,1,,,
3410527D2031,人工透析液,Ｄドライ透析剤３．０Ｓ,1,,,
3410530D2033,人工透析液,リンパック透析剤ＴＡ３,1,,,
3410531A1035,人工透析液,バイフィル透析剤,1,,,
3410532A1030,人工透析液,バイフィル専用炭酸水素ナトリウム補充液１．３９％,1,,,
3410532A2036,人工透析液,バイフィル専用炭酸水素ナトリウム補充液１．３９％,1,,,
3410534G1031,人工透析液,サブパック血液ろ過用補充液－Ｂｉ,3,,,
3410534G2038,人工透析液,サブパック血液ろ過用補充液－Ｂｉ,3,,,
3410535A1025,人工透析液,カーボスター透析剤・Ｌ,1,,,
3410535A2021,人工透析液,カーボスター透析剤・Ｌ,1,,,
3410536A1020,人工透析液,カーボスター透析剤・Ｍ,1,,,
3410537D1020,人工透析液,カーボスター透析剤・Ｐ,1,,,
3410538G1021,人工透析液,サブラッド血液ろ過用補充液ＢＳＧ,1,,,
3410538G2028,人工透析液,サブラッド血液ろ過用補充液ＢＳＧ,1,,,
3410539A1023,人工透析液,キンダリー透析剤ＡＦ４Ｐ号,1,,,
3410539D1020,人工透析液,キンダリー透析剤４Ｄ,1,,,
3410539D2026,人工透析液,キンダリー透析剤４Ｅ,1,,,
3410540A1026,人工透析液,キンダリー透析剤ＡＦ４号,1,,,
3410540A2022,人工透析液,キンダリー透析剤ＡＦ４号,1,,,
3410541D1027,人工透析液,Ｄドライ透析剤２．７５Ｓ,1,,,
3420409A2051,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　１．５腹膜透析液,2,,,
3420409A3066,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　１．５腹膜透析液,2,,,
3420409A4062,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　１．５腹膜透析液,2,,,
3420409A5050,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　１．５腹膜透析液,2,,,
3420409A6081,腹膜透析液,ステイセーフバランス　２／１．５　腹膜透析液,3,,,
3420409A6090,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　１．５腹膜透析液,2,,,
3420409A7088,腹膜透析液,ステイセーフバランス　２／１．５　腹膜透析液,★,,,
3420409A7096,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　１．５腹膜透析液,☆,,,
3420409A8076,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　１．５腹膜透析液,2,,,
3420409A9064,腹膜透析液,ステイセーフバランス　２／１．５　腹膜透析液,★,,,
3420409A9072,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　１．５腹膜透析液,☆,,,
3420409H1053,腹膜透析液,ステイセーフバランス　２／１．５　腹膜透析液,3,,,
3420409H1061,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　１．５腹膜透析液,2,,,
3420410A2054,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　２．５腹膜透析液,2,,,
3420410A3069,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　２．５腹膜透析液,2,,,
3420410A4065,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　２．５腹膜透析液,2,,,
3420410A5053,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　２．５腹膜透析液,2,,,
3420410A6084,腹膜透析液,ステイセーフバランス　２／２．５　腹膜透析液,3,,,
3420410A6092,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　２．５腹膜透析液,2,,,
3420410A7080,腹膜透析液,ステイセーフバランス　２／２．５　腹膜透析液,3,,,
3420410A7099,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　２．５腹膜透析液,2,,,
3420410A8079,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　２．５腹膜透析液,2,,,
3420410A9067,腹膜透析液,ステイセーフバランス　２／２．５　腹膜透析液,3,,,
3420410A9075,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　２．５腹膜透析液,2,,,
3420410H1056,腹膜透析液,ステイセーフバランス　２／２．５　腹膜透析液,3,,,
3420410H1064,腹膜透析液,ダイアニール－Ｎ　ＰＤ－２　２．５腹膜透析液,2,,,
3420411A4051,腹膜透析液,ダイアニールＰＤ－２　４．２５腹膜透析液,2,,,
3420411A4060,腹膜透析液,ステイセーフバランス　２／４．２５　腹膜透析液,3,,,
3420411A6070,腹膜透析液,ステイセーフバランス　２／４．２５　腹膜透析液,3,,,
3420411A6089,腹膜透析液,ダイアニールＰＤ－２　４．２５腹膜透析液,2,,,
3420411A7077,腹膜透析液,ステイセーフバランス　２／４．２５　腹膜透析液,3,,,
3420411A7085,腹膜透析液,ダイアニールＰＤ－２　４．２５腹膜透析液,2,,,
3420412A1049,腹膜透析液,ミッドペリック１３５腹膜透析液,1,,,
3420412A2045,腹膜透析液,ミッドペリック１３５腹膜透析液,1,,,
3420412A4048,腹膜透析液,ミッドペリック１３５腹膜透析液,1,,,
3420412A5044,腹膜透析液,ミッドペリック１３５腹膜透析液,1,,,
3420412A6040,腹膜透析液,ミッドペリック１３５腹膜透析液,1,,,
3420412A7047,腹膜透析液,ミッドペリック１３５腹膜透析液,1,,,
3420413A1043,腹膜透析液,ミッドペリック２５０腹膜透析液,1,,,
3420413A2040,腹膜透析液,ミッドペリック２５０腹膜透析液,1,,,
3420413A4042,腹膜透析液,ミッドペリック２５０腹膜透析液,1,,,
3420413A5049,腹膜透析液,ミッドペリック２５０腹膜透析液,1,,,
3420413A6045,腹膜透析液,ミッドペリック２５０腹膜透析液,1,,,
3420413A7041,腹膜透析液,ミッドペリック２５０腹膜透析液,1,,,
3420414A2044,腹膜透析液,ミッドペリック４００腹膜透析液,1,,,
3420414A5043,腹膜透析液,ミッドペリック４００腹膜透析液,1,,,
3420414A6040,腹膜透析液,ミッドペリック４００腹膜透析液,1,,,
